,emp_length,annual_inc,debt_to_income,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,collections_12_mths_ex_med,mths_since_last_major_derog,cr_line_yrs,cr_line_mths,cr_line_days,is_bad,emp_title,pymnt_plan,purpose_cat,zip_code,initial_list_status,home_ownership,verification_status,policy_code,addr_state
10,3,74000.0,17.11,0.0,0.0,,,10.0,0.0,15046,39.9,18.0,0.0,1,1990.0,12.0,1.0,0,4639,0,2,654,0,4,2,3,4
11,5,112000.0,14.96,0.0,0.0,,,12.0,0.0,25274,39.5,24.0,0.0,1,1993.0,6.0,1.0,0,1961,0,4,158,0,4,0,2,7
12,1,148080.0,15.88,0.0,2.0,,,12.0,0.0,36546,73.4,27.0,0.0,1,1996.0,4.0,1.0,0,622,0,4,703,0,4,1,2,46
13,10,44724.0,17.41,0.0,3.0,,,3.0,0.0,886,25.3,5.0,0.0,2,1996.0,10.0,1.0,0,5313,0,25,156,0,4,0,0,8
14,1,100000.0,18.66,0.0,0.0,,,13.0,0.0,23484,70.1,37.0,0.0,3,1999.0,10.0,1.0,0,970,0,18,653,0,4,0,2,4
15,10,75000.0,13.42,0.0,0.0,,,5.0,0.0,18591,37.9,19.0,0.0,3,1993.0,1.0,1.0,0,6557,0,4,440,1,0,1,2,14
16,10,22000.0,14.95,0.0,0.0,,,4.0,0.0,8511,78.8,9.0,0.0,3,1993.0,9.0,1.0,1,4639,0,19,269,1,3,2,1,9
17,1,30000.0,19.32,0.0,0.0,,,9.0,0.0,5276,62.1,19.0,0.0,3,2003.0,1.0,1.0,0,6547,0,4,50,0,4,2,3,30
18,3,63000.0,19.09,0.0,1.0,,,12.0,0.0,16167,70.3,27.0,0.0,2,1999.0,11.0,1.0,0,5943,0,4,657,0,4,1,1,4
19,3,120000.0,5.22,1.0,3.0,13.0,,5.0,0.0,49805,0.0,36.0,0.0,1,1996.0,12.0,1.0,0,4985,0,10,442,0,0,2,0,14
20,2,72000.0,17.48,0.0,6.0,,,13.0,0.0,1249,6.1,23.0,0.0,3,1997.0,11.0,1.0,1,3075,0,21,536,0,0,0,2,35
21,1,350000.0,12.22,0.0,0.0,34.0,,8.0,0.0,27733,80.4,24.0,0.0,3,1994.0,9.0,1.0,0,2241,0,2,187,0,4,1,3,44
22,10,56000.0,15.43,0.0,0.0,,,6.0,0.0,4971,43.5,19.0,0.0,1,1995.0,6.0,1.0,0,4077,0,4,642,0,4,1,1,4
23,1,191000.0,12.2,0.0,0.0,49.0,,16.0,0.0,444,2.5,54.0,0.0,2,1987.0,3.0,1.0,0,5444,0,6,269,0,0,0,0,9
24,10,47480.0,16.81,0.0,3.0,32.0,,10.0,0.0,150,3.1,24.0,0.0,3,1999.0,1.0,1.0,0,7281,0,18,26,0,4,0,0,29
25,8,33600.0,3.93,0.0,1.0,67.0,,5.0,0.0,8482,73.8,20.0,0.0,2,2000.0,2.0,1.0,0,4863,0,12,189,0,0,1,0,44
26,2,42000.0,15.89,0.0,1.0,,,10.0,0.0,20691,51.6,20.0,0.0,2,2000.0,5.0,1.0,0,4656,0,18,106,0,0,0,4,33
27,5,40000.0,10.71,0.0,0.0,,,11.0,0.0,2459,44.7,26.0,0.0,2,2005.0,7.0,1.0,0,3202,0,4,1,0,0,0,1,19
28,3,55000.0,24.94,0.0,8.0,,,16.0,0.0,41705,95.2,24.0,0.0,3,1994.0,4.0,1.0,0,3438,0,2,450,0,0,0,1,14
29,4,120000.0,0.0,0.0,0.0,48.0,,2.0,0.0,0,0.0,7.0,0.0,3,1995.0,7.0,1.0,0,2268,0,18,651,0,4,0,1,4
30,1,100000.0,19.99,0.0,1.0,58.0,,6.0,0.0,24678,79.0,22.0,0.0,2,2001.0,10.0,1.0,0,3342,0,4,158,0,0,1,4,7
31,3,48000.0,22.59,0.0,2.0,52.0,,10.0,0.0,2894,36.2,13.0,0.0,2,1997.0,6.0,1.0,0,7358,0,4,234,0,0,1,2,27
32,5,41000.0,20.69,0.0,0.0,39.0,,6.0,0.0,10949,61.9,12.0,0.0,3,2000.0,10.0,1.0,0,5977,0,4,696,0,4,0,3,36
33,1,8000.0,15.15,0.0,0.0,,,6.0,0.0,2146,20.2,16.0,0.0,1,2003.0,8.0,1.0,0,4455,0,0,250,0,4,2,0,10
34,10,80000.0,8.14,0.0,0.0,,,10.0,0.0,14563,68.1,23.0,0.0,2,1996.0,2.0,1.0,0,2900,0,4,487,0,0,1,3,16
35,2,95000.0,13.65,0.0,0.0,,,8.0,0.0,27686,54.3,26.0,0.0,1,2004.0,10.0,1.0,0,3083,0,2,185,0,4,1,2,44
36,4,60000.0,9.46,0.0,0.0,60.0,,14.0,0.0,9936,16.7,29.0,0.0,2,1998.0,8.0,1.0,0,1408,0,4,584,0,4,1,4,5
37,2,42000.0,12.74,0.0,3.0,62.0,,11.0,0.0,528,9.1,22.0,0.0,3,2001.0,7.0,1.0,0,3874,0,4,651,0,4,0,3,4
38,3,36400.0,10.98,0.0,1.0,,,8.0,0.0,6772,72.8,18.0,0.0,3,2004.0,1.0,1.0,0,4731,0,4,442,0,3,0,3,14
39,1,65400.0,17.71,0.0,3.0,,,8.0,0.0,13041,81.5,36.0,0.0,3,1995.0,2.0,1.0,0,520,0,2,663,0,4,2,4,4
40,2,58000.0,13.55,0.0,3.0,64.0,,7.0,0.0,7616,58.1,16.0,0.0,3,2001.0,9.0,1.0,0,4336,0,4,44,0,4,0,4,30
41,4,315600.0,0.98,0.0,2.0,,,6.0,0.0,1555,24.7,10.0,0.0,1,2007.0,2.0,1.0,0,4445,0,4,62,0,4,2,2,30
42,2,45000.0,7.79,0.0,1.0,,,9.0,0.0,780,4.1,19.0,0.0,2,1997.0,8.0,1.0,0,3399,0,8,164,0,0,0,2,20
43,5,55000.0,22.28,0.0,2.0,,,13.0,0.0,14217,20.2,25.0,0.0,2,2000.0,3.0,1.0,0,1783,0,4,34,0,4,0,4,6
44,4,141000.0,8.31,0.0,3.0,,,10.0,0.0,55142,45.8,24.0,0.0,1,1992.0,9.0,1.0,0,5902,0,12,465,0,0,1,0,24
45,7,72000.0,8.68,0.0,0.0,,,10.0,0.0,18885,66.3,43.0,0.0,2,1995.0,10.0,1.0,0,2910,0,0,702,0,0,0,4,36
46,1,35000.0,14.5,0.0,3.0,,,12.0,0.0,17717,67.4,26.0,0.0,1,2000.0,1.0,1.0,0,5983,0,4,396,0,0,2,3,47
47,3,42240.0,13.35,1.0,1.0,4.0,,5.0,0.0,15974,48.9,16.0,0.0,1,1987.0,1.0,1.0,0,6676,0,4,279,0,0,0,2,9
48,10,66000.0,12.58,0.0,1.0,,,11.0,0.0,5723,8.4,38.0,0.0,3,1996.0,10.0,1.0,0,3774,0,8,617,0,0,0,3,3
49,6,86496.0,14.19,0.0,0.0,,,6.0,0.0,12915,85.0,12.0,0.0,1,2001.0,1.0,1.0,0,2670,0,4,79,0,4,2,1,33
50,10,52656.0,7.7,0.0,0.0,34.0,,16.0,0.0,0,0.0,24.0,0.0,3,1984.0,9.0,1.0,0,7198,0,14,68,0,4,1,4,33
51,1,120000.0,21.16,4.0,1.0,4.0,,25.0,0.0,43109,72.3,49.0,0.0,3,1986.0,7.0,1.0,1,2209,0,18,161,0,0,2,4,20
52,1,30000.0,8.36,0.0,2.0,,,14.0,0.0,277,46.2,15.0,0.0,2,2006.0,1.0,1.0,0,7475,0,6,219,0,4,0,2,39
53,10,120000.0,6.98,0.0,0.0,,,15.0,0.0,78330,28.6,31.0,0.0,2,1980.0,7.0,1.0,0,3848,0,12,646,0,0,0,3,4
54,1,23040.0,12.66,0.0,0.0,63.0,,6.0,0.0,8282,62.3,11.0,0.0,2,1998.0,12.0,1.0,1,1911,0,2,680,0,4,2,2,4
55,1,15000.0,18.08,0.0,0.0,,,2.0,0.0,9279,36.5,3.0,0.0,1,2004.0,9.0,1.0,1,6450,0,18,560,0,4,1,3,42
56,3,43000.0,15.49,1.0,1.0,19.0,,9.0,0.0,19226,70.9,32.0,0.0,2,2000.0,4.0,1.0,0,5482,0,4,174,0,3,1,3,44
57,10,99600.0,15.22,0.0,0.0,,,11.0,0.0,60631,70.3,28.0,0.0,2,1976.0,6.0,1.0,0,3125,0,14,683,0,0,1,2,4
58,10,40000.0,15.0,0.0,0.0,,,10.0,0.0,18601,88.2,11.0,0.0,1,2004.0,5.0,1.0,0,1458,0,2,695,0,4,0,0,36
59,1,65000.0,2.79,1.0,2.0,19.0,27.0,4.0,1.0,2601,40.6,7.0,0.0,2,1999.0,8.0,1.0,0,368,0,21,413,0,4,0,1,23
60,6,61781.0,17.15,0.0,4.0,,,10.0,0.0,23065,51.1,31.0,0.0,3,1981.0,3.0,1.0,0,2321,0,2,361,0,0,1,3,34
61,3,72000.0,14.75,0.0,0.0,,,19.0,0.0,18421,67.0,28.0,0.0,2,2001.0,3.0,1.0,0,2786,0,4,375,0,4,1,1,22
62,3,29000.0,17.63,0.0,0.0,27.0,,15.0,0.0,1155,11.3,24.0,0.0,1,2002.0,9.0,1.0,0,1232,0,4,147,0,4,0,2,37
63,10,42500.0,0.28,0.0,3.0,,92.0,3.0,1.0,45,0.6,16.0,0.0,2,1997.0,7.0,1.0,0,3590,0,4,437,0,0,1,4,14
64,1,53052.0,18.95,0.0,0.0,,,4.0,0.0,4556,53.6,7.0,0.0,2,2005.0,3.0,1.0,0,6590,0,18,573,0,4,2,4,42
65,1,70000.0,2.59,0.0,1.0,,,11.0,0.0,5231,2.4,20.0,0.0,2,1995.0,11.0,1.0,0,849,0,2,158,0,4,2,0,7
66,1,25000.0,14.59,0.0,1.0,,,13.0,0.0,11338,18.6,30.0,0.0,2,2006.0,2.0,1.0,0,4458,0,4,716,0,4,2,4,0
67,10,80000.0,20.59,1.0,2.0,15.0,,30.0,0.0,6654,22.6,56.0,0.0,3,1997.0,7.0,1.0,0,3335,0,23,222,0,0,0,2,27
68,4,71000.0,13.81,0.0,0.0,,,14.0,0.0,6953,67.5,24.0,0.0,3,2000.0,4.0,1.0,1,2491,0,4,277,0,0,1,3,9
69,8,61200.0,20.94,0.0,3.0,,,8.0,0.0,3943,33.4,20.0,0.0,1,2002.0,12.0,1.0,0,505,0,4,521,0,0,2,1,2
70,1,48000.0,2.6,0.0,0.0,,,4.0,0.0,3935,46.3,5.0,0.0,2,2007.0,7.0,1.0,0,1624,0,25,64,0,4,1,2,33
71,2,28956.0,24.08,1.0,2.0,16.0,,11.0,0.0,3349,21.2,20.0,0.0,3,2002.0,8.0,1.0,0,3040,0,4,571,0,4,2,4,42
72,2,60000.0,1.36,1.0,0.0,11.0,,12.0,0.0,2193,10.5,21.0,0.0,2,1984.0,4.0,1.0,0,6701,0,18,574,0,0,0,0,42
73,5,44000.0,7.15,0.0,0.0,,,8.0,0.0,4913,63.4,12.0,0.0,2,2006.0,4.0,1.0,1,5225,0,4,275,0,4,1,3,9
74,3,55000.0,12.56,0.0,2.0,,,7.0,0.0,4280,28.2,8.0,0.0,3,2006.0,1.0,1.0,0,4820,0,4,278,0,0,0,0,9
75,7,70000.0,13.53,0.0,3.0,26.0,,12.0,0.0,73764,22.5,39.0,0.0,1,1988.0,5.0,1.0,0,2920,0,2,505,0,0,0,4,18
76,1,47600.0,15.53,0.0,1.0,34.0,0.0,6.0,0.0,1233,35.2,7.0,0.0,2,2003.0,12.0,1.0,0,4672,0,4,163,1,4,0,1,20
77,8,36000.0,21.9,3.0,1.0,9.0,,6.0,0.0,6965,89.3,20.0,0.0,2,2000.0,1.0,1.0,0,4736,0,4,687,1,0,0,2,4
78,10,79992.0,21.75,1.0,0.0,23.0,,13.0,0.0,16156,74.5,30.0,0.0,1,1997.0,2.0,1.0,0,519,0,18,661,1,0,1,4,4
79,3,31000.0,19.66,0.0,2.0,31.0,,11.0,0.0,3058,28.8,12.0,0.0,2,1995.0,8.0,1.0,0,5387,0,4,276,1,4,2,2,9
80,1,60000.0,19.94,0.0,0.0,,,9.0,0.0,22253,44.0,27.0,0.0,2,1998.0,5.0,1.0,0,669,0,25,549,1,4,2,0,42
81,1,250000.0,1.42,4.0,5.0,15.0,,5.0,0.0,427,23.7,43.0,0.0,1,1982.0,3.0,1.0,0,2106,0,12,243,1,0,1,0,39
82,1,24000.0,3.25,0.0,0.0,,,5.0,0.0,1680,56.0,7.0,0.0,2,2005.0,10.0,1.0,0,5621,0,8,437,1,0,2,4,14
83,1,25000.0,21.36,0.0,0.0,55.0,,4.0,0.0,1333,83.3,19.0,0.0,1,2002.0,7.0,1.0,0,5822,0,4,159,0,4,0,1,44
84,10,65000.0,2.33,1.0,1.0,17.0,,8.0,0.0,2937,10.8,17.0,0.0,2,1989.0,1.0,1.0,0,2937,0,23,255,0,0,2,3,10
85,8,90000.0,5.24,0.0,1.0,42.0,,17.0,0.0,15077,46.7,28.0,0.0,1,2001.0,10.0,1.0,0,3141,0,2,162,0,4,1,2,20
86,10,55000.0,16.97,0.0,0.0,44.0,,5.0,0.0,3052,41.8,22.0,0.0,1,1992.0,9.0,1.0,1,1593,0,19,252,0,4,0,1,10
87,4,159996.0,6.84,0.0,0.0,,,11.0,0.0,18115,98.5,35.0,0.0,1,1995.0,12.0,1.0,0,5435,0,2,342,0,4,1,0,34
88,2,45000.0,17.28,0.0,7.0,78.0,88.0,11.0,1.0,3102,48.5,29.0,0.0,3,2001.0,6.0,1.0,0,7701,0,4,132,0,4,0,2,37
89,4,70000.0,6.17,0.0,0.0,,,3.0,0.0,4789,47.9,3.0,0.0,2,2004.0,9.0,1.0,1,1024,0,21,675,0,4,2,3,4
90,1,51400.0,1.77,0.0,2.0,,,7.0,0.0,1744,16.0,9.0,0.0,3,2006.0,7.0,1.0,0,1998,0,4,176,0,4,0,2,44
91,4,33000.0,17.38,1.0,1.0,19.0,,6.0,0.0,0,0.0,20.0,0.0,1,2004.0,5.0,1.0,0,632,0,4,411,0,4,1,2,23
92,7,130000.0,7.76,0.0,0.0,38.0,,13.0,0.0,4039,14.8,38.0,0.0,3,1991.0,8.0,1.0,0,5403,0,21,707,0,0,1,1,46
93,1,137004.0,20.69,0.0,0.0,,,15.0,0.0,116150,54.6,34.0,0.0,2,1992.0,10.0,1.0,0,2946,0,4,242,0,0,1,3,39
94,5,48575.0,22.33,0.0,1.0,,,15.0,0.0,9877,56.8,22.0,0.0,1,1983.0,2.0,1.0,0,4092,0,4,159,0,3,2,2,44
95,10,155000.0,12.4,0.0,0.0,,,9.0,0.0,23039,26.6,36.0,0.0,2,1990.0,8.0,1.0,0,1493,0,4,653,0,0,1,1,4
96,10,81847.0,6.03,0.0,5.0,,98.0,9.0,1.0,11754,41.0,21.0,0.0,2,1990.0,10.0,1.0,0,6173,0,6,54,0,0,2,0,30
97,9,55200.0,20.39,2.0,0.0,17.0,,9.0,0.0,35294,95.9,49.0,0.0,3,1999.0,1.0,1.0,1,3084,0,21,681,0,0,0,3,4
98,1,120000.0,9.69,0.0,0.0,54.0,,10.0,0.0,7796,32.2,27.0,0.0,2,2001.0,2.0,1.0,1,5243,0,2,653,0,0,1,3,4
99,3,200000.0,6.71,0.0,0.0,,,11.0,0.0,8937,20.8,17.0,0.0,3,2000.0,1.0,1.0,0,2936,0,4,646,0,0,2,4,4
100,1,47840.0,24.18,0.0,0.0,,,8.0,0.0,21507,68.5,8.0,0.0,1,2004.0,4.0,1.0,0,7026,0,4,277,0,4,1,1,9
101,3,61000.0,0.98,0.0,5.0,,,8.0,0.0,1939,6.2,9.0,0.0,3,2006.0,10.0,1.0,0,4639,0,23,544,0,4,2,1,42
102,7,61000.0,9.68,0.0,3.0,,113.0,7.0,1.0,1284,6.3,22.0,0.0,2,1993.0,1.0,1.0,0,388,0,10,130,0,3,1,3,37
103,2,27600.0,21.83,0.0,0.0,,,5.0,0.0,7135,46.6,6.0,0.0,1,2006.0,7.0,1.0,0,5780,0,4,256,0,3,2,0,10
104,8,65000.0,0.65,0.0,0.0,,,7.0,0.0,1252,4.5,12.0,0.0,3,2001.0,5.0,1.0,0,6506,0,18,12,0,4,0,1,19
105,8,56000.0,8.46,0.0,0.0,,,5.0,0.0,13923,77.3,12.0,0.0,1,1997.0,5.0,1.0,0,7498,0,4,705,0,0,0,3,46
106,1,36000.0,17.27,0.0,3.0,,110.0,9.0,1.0,7976,47.2,15.0,0.0,1,1998.0,12.0,1.0,1,7275,0,4,4,0,4,0,2,19
107,1,22800.0,24.89,0.0,1.0,27.0,,3.0,0.0,192,48.0,5.0,0.0,3,2000.0,7.0,1.0,1,302,0,8,691,0,4,2,2,11
108,4,40000.0,16.47,0.0,4.0,41.0,,9.0,0.0,8747,74.8,16.0,0.0,1,1996.0,6.0,1.0,0,553,0,18,363,0,0,0,1,34
109,10,90474.0,9.64,0.0,1.0,48.0,,20.0,0.0,22400,19.9,62.0,0.0,2,1978.0,5.0,1.0,0,2020,0,4,161,0,0,1,0,20
110,10,130000.0,5.39,0.0,0.0,,,6.0,0.0,20964,35.6,29.0,0.0,2,1995.0,11.0,1.0,0,669,0,4,614,0,0,1,3,3
111,10,45000.0,15.6,0.0,0.0,,,4.0,0.0,17588,93.1,13.0,0.0,1,1999.0,8.0,1.0,0,3845,0,2,247,0,0,2,3,10
112,1,115000.0,1.39,0.0,1.0,,,9.0,0.0,30215,49.6,17.0,0.0,3,2003.0,5.0,1.0,1,6023,0,25,637,0,4,1,1,4
113,2,51400.0,19.14,0.0,3.0,,,10.0,0.0,10160,59.1,24.0,0.0,2,2000.0,10.0,1.0,0,1938,0,2,544,0,4,0,4,42
114,5,46199.0,23.42,0.0,4.0,,,6.0,0.0,22558,76.5,11.0,0.0,3,1998.0,2.0,1.0,0,7636,0,2,588,0,4,1,1,5
115,10,82000.0,14.59,0.0,8.0,,,10.0,0.0,31830,41.3,28.0,0.0,3,1994.0,1.0,1.0,0,4871,0,8,373,0,0,1,3,22
116,9,61000.0,5.08,0.0,0.0,,,5.0,0.0,12653,48.9,14.0,0.0,3,2004.0,4.0,1.0,0,4823,0,2,616,0,0,2,0,3
117,4,120000.0,15.23,0.0,1.0,,,11.0,0.0,25822,71.1,27.0,0.0,1,1996.0,1.0,1.0,0,2248,0,4,571,0,4,1,3,42
118,2,100000.0,9.13,0.0,0.0,43.0,87.0,10.0,1.0,9331,79.1,24.0,0.0,2,1995.0,5.0,1.0,0,4639,0,4,205,0,0,2,2,48
119,0,55200.0,16.76,0.0,1.0,38.0,,26.0,0.0,26676,33.1,53.0,0.0,1,1970.0,10.0,1.0,0,4639,0,4,119,0,0,1,2,37
120,3,112800.0,14.35,0.0,1.0,,,17.0,0.0,38121,59.6,35.0,0.0,2,1987.0,8.0,1.0,0,345,0,4,107,0,0,1,4,33
121,10,145000.0,5.74,0.0,3.0,,,6.0,0.0,28648,61.0,26.0,0.0,3,1985.0,8.0,1.0,0,1695,0,4,37,0,0,1,2,6
122,10,75000.0,13.15,0.0,0.0,,,13.0,0.0,13901,29.8,33.0,0.0,3,1988.0,1.0,1.0,0,7716,0,4,559,0,0,1,1,42
123,6,75000.0,19.09,0.0,1.0,78.0,,12.0,0.0,16865,70.0,32.0,0.0,3,1996.0,12.0,1.0,0,2865,0,4,12,0,4,2,4,19
124,5,65000.0,20.62,0.0,3.0,,93.0,11.0,1.0,14658,68.2,27.0,0.0,1,2001.0,10.0,1.0,0,7121,0,4,581,0,4,1,1,42
125,3,50000.0,13.73,0.0,0.0,,,5.0,0.0,20791,94.5,10.0,0.0,2,2001.0,3.0,1.0,0,1080,0,2,442,0,4,0,4,14
126,10,85000.0,17.92,0.0,0.0,28.0,,4.0,0.0,28824,39.2,7.0,0.0,1,1997.0,8.0,1.0,0,5672,0,12,44,0,4,0,2,30
127,10,137481.0,4.81,1.0,0.0,16.0,,5.0,0.0,20042,50.9,34.0,0.0,2,1985.0,6.0,1.0,0,4048,0,4,550,0,4,0,3,42
128,4,47000.0,13.53,0.0,0.0,,,7.0,0.0,7686,78.4,10.0,0.0,1,2005.0,1.0,1.0,0,6708,0,2,680,0,4,0,0,4
129,5,58344.0,6.38,0.0,1.0,56.0,,6.0,0.0,11927,75.5,19.0,0.0,2,1999.0,9.0,1.0,0,5318,0,4,489,0,4,0,3,16
130,1,32400.0,21.22,0.0,1.0,,,8.0,0.0,14667,69.2,15.0,0.0,1,2001.0,2.0,1.0,0,4639,0,0,413,0,4,0,4,23
131,1,122000.0,7.55,0.0,5.0,,,8.0,0.0,62681,25.9,25.0,0.0,3,1999.0,3.0,1.0,0,2040,0,2,436,0,0,0,1,14
132,1,65000.0,3.01,0.0,1.0,,,5.0,0.0,6526,94.6,8.0,0.0,1,2007.0,7.0,1.0,1,2550,0,5,442,0,0,1,0,14
133,5,82000.0,21.73,1.0,6.0,6.0,,15.0,0.0,111611,17.4,24.0,0.0,3,1991.0,7.0,1.0,0,5019,0,4,349,0,0,0,3,34
134,10,52000.0,16.57,0.0,1.0,37.0,,7.0,0.0,5437,22.4,41.0,0.0,1,1995.0,5.0,1.0,0,7389,0,4,323,0,4,1,3,17
135,5,180000.0,21.17,0.0,0.0,,,16.0,0.0,12318,78.0,61.0,0.0,2,2000.0,8.0,1.0,0,5076,0,4,675,0,4,2,0,4
136,10,55000.0,15.75,0.0,0.0,,,8.0,0.0,10572,53.9,18.0,0.0,1,1994.0,9.0,1.0,0,7108,0,18,76,0,4,1,4,33
137,3,78402.0,10.24,1.0,0.0,5.0,,3.0,0.0,1094,31.3,16.0,0.0,1,1998.0,5.0,1.0,0,1415,0,4,635,0,4,0,4,4
138,10,65496.0,13.81,0.0,1.0,26.0,,11.0,0.0,5205,13.4,39.0,0.0,1,1986.0,9.0,1.0,0,7643,0,18,566,0,4,0,2,42
139,7,200000.0,3.74,0.0,1.0,,,10.0,0.0,12147,67.5,18.0,0.0,1,1990.0,9.0,1.0,0,2659,0,4,653,0,0,1,0,4
140,4,30000.0,20.28,0.0,0.0,,,13.0,0.0,6024,45.3,24.0,0.0,3,1999.0,8.0,1.0,0,6893,0,2,441,0,0,0,3,14
141,2,114000.0,15.02,0.0,2.0,,101.0,12.0,1.0,18071,65.5,24.0,0.0,1,1984.0,8.0,1.0,0,5626,0,4,551,0,0,0,1,42
142,4,37560.0,26.84,0.0,0.0,,,4.0,0.0,17596,96.2,8.0,0.0,2,2000.0,8.0,1.0,0,6320,0,4,510,0,3,0,1,18
143,8,75000.0,6.22,0.0,2.0,,,11.0,0.0,72,0.6,12.0,0.0,2,2005.0,4.0,1.0,0,4506,0,12,507,0,4,2,0,18
144,1,61000.0,23.08,0.0,5.0,,,7.0,0.0,9433,76.3,13.0,0.0,1,2001.0,5.0,1.0,0,223,0,2,248,0,4,0,3,10
145,1,100000.0,13.31,0.0,1.0,,,16.0,0.0,13931,75.8,24.0,0.0,3,1995.0,1.0,1.0,1,4639,0,21,641,0,0,1,3,4
146,1,28000.0,1.76,0.0,1.0,,,6.0,0.0,1292,4.3,8.0,0.0,2,2002.0,8.0,1.0,0,4902,0,12,140,0,4,0,3,37
147,10,130000.0,19.62,0.0,0.0,,,9.0,0.0,61165,91.3,28.0,0.0,3,1985.0,9.0,1.0,0,5987,0,2,674,0,3,1,4,4
148,1,37500.0,6.62,0.0,1.0,,,4.0,0.0,7187,92.1,21.0,0.0,2,2002.0,2.0,1.0,0,559,0,8,233,0,0,0,2,27
149,10,45000.0,14.11,1.0,3.0,17.0,,7.0,0.0,3641,79.2,19.0,0.0,3,2002.0,4.0,1.0,1,7387,0,18,655,0,4,2,4,4
150,7,52800.0,24.94,0.0,1.0,,,8.0,0.0,10290,85.0,12.0,0.0,3,2000.0,12.0,1.0,1,215,0,2,216,0,4,2,0,48
151,10,39168.0,24.85,0.0,1.0,36.0,77.0,13.0,1.0,6347,81.6,30.0,0.0,1,1997.0,3.0,1.0,1,5948,0,4,674,0,0,0,1,4
152,5,58000.0,20.32,0.0,0.0,,,12.0,0.0,6790,52.6,29.0,0.0,3,2000.0,6.0,1.0,0,736,0,4,571,0,4,2,3,42
153,10,88812.93,18.56,0.0,2.0,,,8.0,0.0,33844,85.9,27.0,0.0,2,1994.0,11.0,1.0,0,85,0,2,140,0,0,1,4,37
154,10,42000.0,21.17,0.0,2.0,,,25.0,0.0,9669,16.6,37.0,0.0,1,1984.0,11.0,1.0,0,5208,0,18,542,0,4,0,4,42
155,2,43000.0,23.44,0.0,2.0,,,9.0,0.0,5049,48.5,12.0,0.0,3,1997.0,1.0,1.0,0,5637,0,18,561,0,0,1,3,42
156,8,115000.0,7.78,0.0,2.0,44.0,,7.0,0.0,12340,71.3,46.0,0.0,2,1997.0,8.0,1.0,0,4738,0,4,19,0,0,0,3,38
157,10,93000.0,10.89,0.0,0.0,,,13.0,0.0,60376,47.9,27.0,0.0,3,1983.0,11.0,1.0,0,7827,0,8,373,0,0,0,4,22
158,1,10000.0,19.68,0.0,0.0,,,3.0,0.0,603,6.2,4.0,0.0,3,2005.0,11.0,1.0,0,104,0,6,442,0,4,0,1,14
159,7,350000.0,11.38,0.0,7.0,,,13.0,0.0,1207359,56.0,33.0,0.0,2,1986.0,10.0,1.0,0,69,0,21,14,0,3,0,4,19
160,2,51996.0,23.96,0.0,3.0,,,8.0,0.0,8437,63.0,14.0,0.0,3,2004.0,7.0,1.0,0,7370,0,4,666,0,0,2,0,4
161,10,140000.0,3.05,0.0,0.0,28.0,,21.0,0.0,16621,20.6,50.0,0.0,1,1970.0,2.0,1.0,0,5252,0,2,646,0,0,2,1,4
162,3,61200.0,11.02,0.0,0.0,,,12.0,0.0,6577,51.0,20.0,0.0,3,1999.0,12.0,1.0,0,552,0,4,75,0,4,0,4,33
163,4,40000.0,11.19,0.0,2.0,,,6.0,0.0,17554,57.0,8.0,0.0,1,1998.0,11.0,1.0,0,6798,0,4,76,0,4,2,0,33
