,emp_length,annual_inc,debt_to_income,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,collections_12_mths_ex_med,mths_since_last_major_derog,cr_line_yrs,cr_line_mths,cr_line_days,is_bad,purpose_cat,emp_title,policy_code,zip_code,home_ownership,initial_list_status,addr_state,verification_status,pymnt_plan
36,4,60000.0,9.46,0.0,0.0,60.0,,14.0,0.0,9936,16.7,29.0,0.0,2,1998.0,8.0,1.0,0,4,1408,4,584,4,0,5,1,0
37,2,42000.0,12.74,0.0,3.0,62.0,,11.0,0.0,528,9.1,22.0,0.0,3,2001.0,7.0,1.0,0,4,3874,3,651,4,0,4,0,0
38,3,36400.0,10.98,0.0,1.0,,,8.0,0.0,6772,72.8,18.0,0.0,3,2004.0,1.0,1.0,0,4,4731,3,442,3,0,14,0,0
39,1,65400.0,17.71,0.0,3.0,,,8.0,0.0,13041,81.5,36.0,0.0,3,1995.0,2.0,1.0,0,2,520,4,663,4,0,4,2,0
40,2,58000.0,13.55,0.0,3.0,64.0,,7.0,0.0,7616,58.1,16.0,0.0,3,2001.0,9.0,1.0,0,4,4336,4,44,4,0,30,0,0
41,4,315600.0,0.98,0.0,2.0,,,6.0,0.0,1555,24.7,10.0,0.0,1,2007.0,2.0,1.0,0,4,4445,2,62,4,0,30,2,0
42,2,45000.0,7.79,0.0,1.0,,,9.0,0.0,780,4.1,19.0,0.0,2,1997.0,8.0,1.0,0,8,3399,2,164,0,0,20,0,0
43,5,55000.0,22.28,0.0,2.0,,,13.0,0.0,14217,20.2,25.0,0.0,2,2000.0,3.0,1.0,0,4,1783,4,34,4,0,6,0,0
44,4,141000.0,8.31,0.0,3.0,,,10.0,0.0,55142,45.8,24.0,0.0,1,1992.0,9.0,1.0,0,12,5902,0,465,0,0,24,1,0
45,7,72000.0,8.68,0.0,0.0,,,10.0,0.0,18885,66.3,43.0,0.0,2,1995.0,10.0,1.0,0,0,2910,4,702,0,0,36,0,0
46,1,35000.0,14.5,0.0,3.0,,,12.0,0.0,17717,67.4,26.0,0.0,1,2000.0,1.0,1.0,0,4,5983,3,396,0,0,47,2,0
47,3,42240.0,13.35,1.0,1.0,4.0,,5.0,0.0,15974,48.9,16.0,0.0,1,1987.0,1.0,1.0,0,4,6676,2,279,0,0,9,0,0
48,10,66000.0,12.58,0.0,1.0,,,11.0,0.0,5723,8.4,38.0,0.0,3,1996.0,10.0,1.0,0,8,3774,3,617,0,0,3,0,0
49,6,86496.0,14.19,0.0,0.0,,,6.0,0.0,12915,85.0,12.0,0.0,1,2001.0,1.0,1.0,0,4,2670,1,79,4,0,33,2,0
50,10,52656.0,7.7,0.0,0.0,34.0,,16.0,0.0,0,0.0,24.0,0.0,3,1984.0,9.0,1.0,0,14,7198,4,68,4,0,33,1,0
51,1,120000.0,21.16,4.0,1.0,4.0,,25.0,0.0,43109,72.3,49.0,0.0,3,1986.0,7.0,1.0,1,18,2209,4,161,0,0,20,2,0
52,1,30000.0,8.36,0.0,2.0,,,14.0,0.0,277,46.2,15.0,0.0,2,2006.0,1.0,1.0,0,6,7475,2,219,4,0,39,0,0
53,10,120000.0,6.98,0.0,0.0,,,15.0,0.0,78330,28.6,31.0,0.0,2,1980.0,7.0,1.0,0,12,3848,3,646,0,0,4,0,0
54,1,23040.0,12.66,0.0,0.0,63.0,,6.0,0.0,8282,62.3,11.0,0.0,2,1998.0,12.0,1.0,1,2,1911,2,680,4,0,4,2,0
55,1,15000.0,18.08,0.0,0.0,,,2.0,0.0,9279,36.5,3.0,0.0,1,2004.0,9.0,1.0,1,18,6450,3,560,4,0,42,1,0
56,3,43000.0,15.49,1.0,1.0,19.0,,9.0,0.0,19226,70.9,32.0,0.0,2,2000.0,4.0,1.0,0,4,5482,3,174,3,0,44,1,0
57,10,99600.0,15.22,0.0,0.0,,,11.0,0.0,60631,70.3,28.0,0.0,2,1976.0,6.0,1.0,0,14,3125,2,683,0,0,4,1,0
58,10,40000.0,15.0,0.0,0.0,,,10.0,0.0,18601,88.2,11.0,0.0,1,2004.0,5.0,1.0,0,2,1458,0,695,4,0,36,0,0
59,1,65000.0,2.79,1.0,2.0,19.0,27.0,4.0,1.0,2601,40.6,7.0,0.0,2,1999.0,8.0,1.0,0,21,368,1,413,4,0,23,0,0
60,6,61781.0,17.15,0.0,4.0,,,10.0,0.0,23065,51.1,31.0,0.0,3,1981.0,3.0,1.0,0,2,2321,3,361,0,0,34,1,0
61,3,72000.0,14.75,0.0,0.0,,,19.0,0.0,18421,67.0,28.0,0.0,2,2001.0,3.0,1.0,0,4,2786,1,375,4,0,22,1,0
62,3,29000.0,17.63,0.0,0.0,27.0,,15.0,0.0,1155,11.3,24.0,0.0,1,2002.0,9.0,1.0,0,4,1232,2,147,4,0,37,0,0
63,10,42500.0,0.28,0.0,3.0,,92.0,3.0,1.0,45,0.6,16.0,0.0,2,1997.0,7.0,1.0,0,4,3590,4,437,0,0,14,1,0
64,1,53052.0,18.95,0.0,0.0,,,4.0,0.0,4556,53.6,7.0,0.0,2,2005.0,3.0,1.0,0,18,6590,4,573,4,0,42,2,0
65,1,70000.0,2.59,0.0,1.0,,,11.0,0.0,5231,2.4,20.0,0.0,2,1995.0,11.0,1.0,0,2,849,0,158,4,0,7,2,0
66,1,25000.0,14.59,0.0,1.0,,,13.0,0.0,11338,18.6,30.0,0.0,2,2006.0,2.0,1.0,0,4,4458,4,716,4,0,0,2,0
67,10,80000.0,20.59,1.0,2.0,15.0,,30.0,0.0,6654,22.6,56.0,0.0,3,1997.0,7.0,1.0,0,23,3335,2,222,0,0,27,0,0
68,4,71000.0,13.81,0.0,0.0,,,14.0,0.0,6953,67.5,24.0,0.0,3,2000.0,4.0,1.0,1,4,2491,3,277,0,0,9,1,0
69,8,61200.0,20.94,0.0,3.0,,,8.0,0.0,3943,33.4,20.0,0.0,1,2002.0,12.0,1.0,0,4,505,1,521,0,0,2,2,0
70,1,48000.0,2.6,0.0,0.0,,,4.0,0.0,3935,46.3,5.0,0.0,2,2007.0,7.0,1.0,0,25,1624,2,64,4,0,33,1,0
71,2,28956.0,24.08,1.0,2.0,16.0,,11.0,0.0,3349,21.2,20.0,0.0,3,2002.0,8.0,1.0,0,4,3040,4,571,4,0,42,2,0
72,2,60000.0,1.36,1.0,0.0,11.0,,12.0,0.0,2193,10.5,21.0,0.0,2,1984.0,4.0,1.0,0,18,6701,0,574,0,0,42,0,0
73,5,44000.0,7.15,0.0,0.0,,,8.0,0.0,4913,63.4,12.0,0.0,2,2006.0,4.0,1.0,1,4,5225,3,275,4,0,9,1,0
74,3,55000.0,12.56,0.0,2.0,,,7.0,0.0,4280,28.2,8.0,0.0,3,2006.0,1.0,1.0,0,4,4820,0,278,0,0,9,0,0
75,7,70000.0,13.53,0.0,3.0,26.0,,12.0,0.0,73764,22.5,39.0,0.0,1,1988.0,5.0,1.0,0,2,2920,4,505,0,0,18,0,0
76,1,47600.0,15.53,0.0,1.0,34.0,0.0,6.0,0.0,1233,35.2,7.0,0.0,2,2003.0,12.0,1.0,0,4,4672,1,163,4,1,20,0,0
77,8,36000.0,21.9,3.0,1.0,9.0,,6.0,0.0,6965,89.3,20.0,0.0,2,2000.0,1.0,1.0,0,4,4736,2,687,0,1,4,0,0
78,10,79992.0,21.75,1.0,0.0,23.0,,13.0,0.0,16156,74.5,30.0,0.0,1,1997.0,2.0,1.0,0,18,519,4,661,0,1,4,1,0
79,3,31000.0,19.66,0.0,2.0,31.0,,11.0,0.0,3058,28.8,12.0,0.0,2,1995.0,8.0,1.0,0,4,5387,2,276,4,1,9,2,0
80,1,60000.0,19.94,0.0,0.0,,,9.0,0.0,22253,44.0,27.0,0.0,2,1998.0,5.0,1.0,0,25,669,0,549,4,1,42,2,0
81,1,250000.0,1.42,4.0,5.0,15.0,,5.0,0.0,427,23.7,43.0,0.0,1,1982.0,3.0,1.0,0,12,2106,0,243,0,1,39,1,0
82,1,24000.0,3.25,0.0,0.0,,,5.0,0.0,1680,56.0,7.0,0.0,2,2005.0,10.0,1.0,0,8,5621,4,437,0,1,14,2,0
83,1,25000.0,21.36,0.0,0.0,55.0,,4.0,0.0,1333,83.3,19.0,0.0,1,2002.0,7.0,1.0,0,4,5822,1,159,4,0,44,0,0
84,10,65000.0,2.33,1.0,1.0,17.0,,8.0,0.0,2937,10.8,17.0,0.0,2,1989.0,1.0,1.0,0,23,2937,3,255,0,0,10,2,0
85,8,90000.0,5.24,0.0,1.0,42.0,,17.0,0.0,15077,46.7,28.0,0.0,1,2001.0,10.0,1.0,0,2,3141,2,162,4,0,20,1,0
86,10,55000.0,16.97,0.0,0.0,44.0,,5.0,0.0,3052,41.8,22.0,0.0,1,1992.0,9.0,1.0,1,19,1593,1,252,4,0,10,0,0
87,4,159996.0,6.84,0.0,0.0,,,11.0,0.0,18115,98.5,35.0,0.0,1,1995.0,12.0,1.0,0,2,5435,0,342,4,0,34,1,0
88,2,45000.0,17.28,0.0,7.0,78.0,88.0,11.0,1.0,3102,48.5,29.0,0.0,3,2001.0,6.0,1.0,0,4,7701,2,132,4,0,37,0,0
89,4,70000.0,6.17,0.0,0.0,,,3.0,0.0,4789,47.9,3.0,0.0,2,2004.0,9.0,1.0,1,21,1024,3,675,4,0,4,2,0
90,1,51400.0,1.77,0.0,2.0,,,7.0,0.0,1744,16.0,9.0,0.0,3,2006.0,7.0,1.0,0,4,1998,2,176,4,0,44,0,0
91,4,33000.0,17.38,1.0,1.0,19.0,,6.0,0.0,0,0.0,20.0,0.0,1,2004.0,5.0,1.0,0,4,632,2,411,4,0,23,1,0
92,7,130000.0,7.76,0.0,0.0,38.0,,13.0,0.0,4039,14.8,38.0,0.0,3,1991.0,8.0,1.0,0,21,5403,1,707,0,0,46,1,0
93,1,137004.0,20.69,0.0,0.0,,,15.0,0.0,116150,54.6,34.0,0.0,2,1992.0,10.0,1.0,0,4,2946,3,242,0,0,39,1,0
94,5,48575.0,22.33,0.0,1.0,,,15.0,0.0,9877,56.8,22.0,0.0,1,1983.0,2.0,1.0,0,4,4092,2,159,3,0,44,2,0
95,10,155000.0,12.4,0.0,0.0,,,9.0,0.0,23039,26.6,36.0,0.0,2,1990.0,8.0,1.0,0,4,1493,1,653,0,0,4,1,0
96,10,81847.0,6.03,0.0,5.0,,98.0,9.0,1.0,11754,41.0,21.0,0.0,2,1990.0,10.0,1.0,0,6,6173,0,54,0,0,30,2,0
97,9,55200.0,20.39,2.0,0.0,17.0,,9.0,0.0,35294,95.9,49.0,0.0,3,1999.0,1.0,1.0,1,21,3084,3,681,0,0,4,0,0
98,1,120000.0,9.69,0.0,0.0,54.0,,10.0,0.0,7796,32.2,27.0,0.0,2,2001.0,2.0,1.0,1,2,5243,3,653,0,0,4,1,0
99,3,200000.0,6.71,0.0,0.0,,,11.0,0.0,8937,20.8,17.0,0.0,3,2000.0,1.0,1.0,0,4,2936,4,646,0,0,4,2,0
100,1,47840.0,24.18,0.0,0.0,,,8.0,0.0,21507,68.5,8.0,0.0,1,2004.0,4.0,1.0,0,4,7026,1,277,4,0,9,1,0
101,3,61000.0,0.98,0.0,5.0,,,8.0,0.0,1939,6.2,9.0,0.0,3,2006.0,10.0,1.0,0,23,4639,1,544,4,0,42,2,0
102,7,61000.0,9.68,0.0,3.0,,113.0,7.0,1.0,1284,6.3,22.0,0.0,2,1993.0,1.0,1.0,0,10,388,3,130,3,0,37,1,0
103,2,27600.0,21.83,0.0,0.0,,,5.0,0.0,7135,46.6,6.0,0.0,1,2006.0,7.0,1.0,0,4,5780,0,256,3,0,10,2,0
104,8,65000.0,0.65,0.0,0.0,,,7.0,0.0,1252,4.5,12.0,0.0,3,2001.0,5.0,1.0,0,18,6506,1,12,4,0,19,0,0
105,8,56000.0,8.46,0.0,0.0,,,5.0,0.0,13923,77.3,12.0,0.0,1,1997.0,5.0,1.0,0,4,7498,3,705,0,0,46,0,0
106,1,36000.0,17.27,0.0,3.0,,110.0,9.0,1.0,7976,47.2,15.0,0.0,1,1998.0,12.0,1.0,1,4,7275,2,4,4,0,19,0,0
107,1,22800.0,24.89,0.0,1.0,27.0,,3.0,0.0,192,48.0,5.0,0.0,3,2000.0,7.0,1.0,1,8,302,2,691,4,0,11,2,0
108,4,40000.0,16.47,0.0,4.0,41.0,,9.0,0.0,8747,74.8,16.0,0.0,1,1996.0,6.0,1.0,0,18,553,1,363,0,0,34,0,0
109,10,90474.0,9.64,0.0,1.0,48.0,,20.0,0.0,22400,19.9,62.0,0.0,2,1978.0,5.0,1.0,0,4,2020,0,161,0,0,20,1,0
110,10,130000.0,5.39,0.0,0.0,,,6.0,0.0,20964,35.6,29.0,0.0,2,1995.0,11.0,1.0,0,4,669,3,614,0,0,3,1,0
111,10,45000.0,15.6,0.0,0.0,,,4.0,0.0,17588,93.1,13.0,0.0,1,1999.0,8.0,1.0,0,2,3845,3,247,0,0,10,2,0
112,1,115000.0,1.39,0.0,1.0,,,9.0,0.0,30215,49.6,17.0,0.0,3,2003.0,5.0,1.0,1,25,6023,1,637,4,0,4,1,0
113,2,51400.0,19.14,0.0,3.0,,,10.0,0.0,10160,59.1,24.0,0.0,2,2000.0,10.0,1.0,0,2,1938,4,544,4,0,42,0,0
114,5,46199.0,23.42,0.0,4.0,,,6.0,0.0,22558,76.5,11.0,0.0,3,1998.0,2.0,1.0,0,2,7636,1,588,4,0,5,1,0
115,10,82000.0,14.59,0.0,8.0,,,10.0,0.0,31830,41.3,28.0,0.0,3,1994.0,1.0,1.0,0,8,4871,3,373,0,0,22,1,0
116,9,61000.0,5.08,0.0,0.0,,,5.0,0.0,12653,48.9,14.0,0.0,3,2004.0,4.0,1.0,0,2,4823,0,616,0,0,3,2,0
117,4,120000.0,15.23,0.0,1.0,,,11.0,0.0,25822,71.1,27.0,0.0,1,1996.0,1.0,1.0,0,4,2248,3,571,4,0,42,1,0
118,2,100000.0,9.13,0.0,0.0,43.0,87.0,10.0,1.0,9331,79.1,24.0,0.0,2,1995.0,5.0,1.0,0,4,4639,2,205,0,0,48,2,0
119,0,55200.0,16.76,0.0,1.0,38.0,,26.0,0.0,26676,33.1,53.0,0.0,1,1970.0,10.0,1.0,0,4,4639,2,119,0,0,37,1,0
120,3,112800.0,14.35,0.0,1.0,,,17.0,0.0,38121,59.6,35.0,0.0,2,1987.0,8.0,1.0,0,4,345,4,107,0,0,33,1,0
121,10,145000.0,5.74,0.0,3.0,,,6.0,0.0,28648,61.0,26.0,0.0,3,1985.0,8.0,1.0,0,4,1695,2,37,0,0,6,1,0
122,10,75000.0,13.15,0.0,0.0,,,13.0,0.0,13901,29.8,33.0,0.0,3,1988.0,1.0,1.0,0,4,7716,1,559,0,0,42,1,0
123,6,75000.0,19.09,0.0,1.0,78.0,,12.0,0.0,16865,70.0,32.0,0.0,3,1996.0,12.0,1.0,0,4,2865,4,12,4,0,19,2,0
124,5,65000.0,20.62,0.0,3.0,,93.0,11.0,1.0,14658,68.2,27.0,0.0,1,2001.0,10.0,1.0,0,4,7121,1,581,4,0,42,1,0
125,3,50000.0,13.73,0.0,0.0,,,5.0,0.0,20791,94.5,10.0,0.0,2,2001.0,3.0,1.0,0,2,1080,4,442,4,0,14,0,0
126,10,85000.0,17.92,0.0,0.0,28.0,,4.0,0.0,28824,39.2,7.0,0.0,1,1997.0,8.0,1.0,0,12,5672,2,44,4,0,30,0,0
127,10,137481.0,4.81,1.0,0.0,16.0,,5.0,0.0,20042,50.9,34.0,0.0,2,1985.0,6.0,1.0,0,4,4048,3,550,4,0,42,0,0
128,4,47000.0,13.53,0.0,0.0,,,7.0,0.0,7686,78.4,10.0,0.0,1,2005.0,1.0,1.0,0,2,6708,0,680,4,0,4,0,0
129,5,58344.0,6.38,0.0,1.0,56.0,,6.0,0.0,11927,75.5,19.0,0.0,2,1999.0,9.0,1.0,0,4,5318,3,489,4,0,16,0,0
130,1,32400.0,21.22,0.0,1.0,,,8.0,0.0,14667,69.2,15.0,0.0,1,2001.0,2.0,1.0,0,0,4639,4,413,4,0,23,0,0
131,1,122000.0,7.55,0.0,5.0,,,8.0,0.0,62681,25.9,25.0,0.0,3,1999.0,3.0,1.0,0,2,2040,1,436,0,0,14,0,0
132,1,65000.0,3.01,0.0,1.0,,,5.0,0.0,6526,94.6,8.0,0.0,1,2007.0,7.0,1.0,1,5,2550,0,442,0,0,14,1,0
133,5,82000.0,21.73,1.0,6.0,6.0,,15.0,0.0,111611,17.4,24.0,0.0,3,1991.0,7.0,1.0,0,4,5019,3,349,0,0,34,0,0
134,10,52000.0,16.57,0.0,1.0,37.0,,7.0,0.0,5437,22.4,41.0,0.0,1,1995.0,5.0,1.0,0,4,7389,3,323,4,0,17,1,0
135,5,180000.0,21.17,0.0,0.0,,,16.0,0.0,12318,78.0,61.0,0.0,2,2000.0,8.0,1.0,0,4,5076,0,675,4,0,4,2,0
136,10,55000.0,15.75,0.0,0.0,,,8.0,0.0,10572,53.9,18.0,0.0,1,1994.0,9.0,1.0,0,18,7108,4,76,4,0,33,1,0
137,3,78402.0,10.24,1.0,0.0,5.0,,3.0,0.0,1094,31.3,16.0,0.0,1,1998.0,5.0,1.0,0,4,1415,4,635,4,0,4,0,0
138,10,65496.0,13.81,0.0,1.0,26.0,,11.0,0.0,5205,13.4,39.0,0.0,1,1986.0,9.0,1.0,0,18,7643,2,566,4,0,42,0,0
139,7,200000.0,3.74,0.0,1.0,,,10.0,0.0,12147,67.5,18.0,0.0,1,1990.0,9.0,1.0,0,4,2659,0,653,0,0,4,1,0
140,4,30000.0,20.28,0.0,0.0,,,13.0,0.0,6024,45.3,24.0,0.0,3,1999.0,8.0,1.0,0,2,6893,3,441,0,0,14,0,0
141,2,114000.0,15.02,0.0,2.0,,101.0,12.0,1.0,18071,65.5,24.0,0.0,1,1984.0,8.0,1.0,0,4,5626,1,551,0,0,42,0,0
142,4,37560.0,26.84,0.0,0.0,,,4.0,0.0,17596,96.2,8.0,0.0,2,2000.0,8.0,1.0,0,4,6320,1,510,3,0,18,0,0
143,8,75000.0,6.22,0.0,2.0,,,11.0,0.0,72,0.6,12.0,0.0,2,2005.0,4.0,1.0,0,12,4506,0,507,4,0,18,2,0
144,1,61000.0,23.08,0.0,5.0,,,7.0,0.0,9433,76.3,13.0,0.0,1,2001.0,5.0,1.0,0,2,223,3,248,4,0,10,0,0
145,1,100000.0,13.31,0.0,1.0,,,16.0,0.0,13931,75.8,24.0,0.0,3,1995.0,1.0,1.0,1,21,4639,3,641,0,0,4,1,0
146,1,28000.0,1.76,0.0,1.0,,,6.0,0.0,1292,4.3,8.0,0.0,2,2002.0,8.0,1.0,0,12,4902,3,140,4,0,37,0,0
147,10,130000.0,19.62,0.0,0.0,,,9.0,0.0,61165,91.3,28.0,0.0,3,1985.0,9.0,1.0,0,2,5987,4,674,3,0,4,1,0
148,1,37500.0,6.62,0.0,1.0,,,4.0,0.0,7187,92.1,21.0,0.0,2,2002.0,2.0,1.0,0,8,559,2,233,0,0,27,0,0
149,10,45000.0,14.11,1.0,3.0,17.0,,7.0,0.0,3641,79.2,19.0,0.0,3,2002.0,4.0,1.0,1,18,7387,4,655,4,0,4,2,0
150,7,52800.0,24.94,0.0,1.0,,,8.0,0.0,10290,85.0,12.0,0.0,3,2000.0,12.0,1.0,1,2,215,0,216,4,0,48,2,0
151,10,39168.0,24.85,0.0,1.0,36.0,77.0,13.0,1.0,6347,81.6,30.0,0.0,1,1997.0,3.0,1.0,1,4,5948,1,674,0,0,4,0,0
152,5,58000.0,20.32,0.0,0.0,,,12.0,0.0,6790,52.6,29.0,0.0,3,2000.0,6.0,1.0,0,4,736,3,571,4,0,42,2,0
153,10,88812.93,18.56,0.0,2.0,,,8.0,0.0,33844,85.9,27.0,0.0,2,1994.0,11.0,1.0,0,2,85,4,140,0,0,37,1,0
154,10,42000.0,21.17,0.0,2.0,,,25.0,0.0,9669,16.6,37.0,0.0,1,1984.0,11.0,1.0,0,18,5208,4,542,4,0,42,0,0
155,2,43000.0,23.44,0.0,2.0,,,9.0,0.0,5049,48.5,12.0,0.0,3,1997.0,1.0,1.0,0,18,5637,3,561,0,0,42,1,0
156,8,115000.0,7.78,0.0,2.0,44.0,,7.0,0.0,12340,71.3,46.0,0.0,2,1997.0,8.0,1.0,0,4,4738,3,19,0,0,38,0,0
157,10,93000.0,10.89,0.0,0.0,,,13.0,0.0,60376,47.9,27.0,0.0,3,1983.0,11.0,1.0,0,8,7827,4,373,0,0,22,0,0
158,1,10000.0,19.68,0.0,0.0,,,3.0,0.0,603,6.2,4.0,0.0,3,2005.0,11.0,1.0,0,6,104,1,442,4,0,14,0,0
159,7,350000.0,11.38,0.0,7.0,,,13.0,0.0,1207359,56.0,33.0,0.0,2,1986.0,10.0,1.0,0,21,69,4,14,3,0,19,0,0
160,2,51996.0,23.96,0.0,3.0,,,8.0,0.0,8437,63.0,14.0,0.0,3,2004.0,7.0,1.0,0,4,7370,0,666,0,0,4,2,0
161,10,140000.0,3.05,0.0,0.0,28.0,,21.0,0.0,16621,20.6,50.0,0.0,1,1970.0,2.0,1.0,0,2,5252,1,646,0,0,4,2,0
162,3,61200.0,11.02,0.0,0.0,,,12.0,0.0,6577,51.0,20.0,0.0,3,1999.0,12.0,1.0,0,4,552,4,75,4,0,33,0,0
163,4,40000.0,11.19,0.0,2.0,,,6.0,0.0,17554,57.0,8.0,0.0,1,1998.0,11.0,1.0,0,4,6798,0,76,4,0,33,2,0
