,is_bad,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose_cat,zip_code,addr_state,debt_to_income,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,mths_since_last_major_derog,policy_code,cr_line_yrs,cr_line_mths
10,0,3,rent,74000.0,verified - income source,n,credit card,921xx,ca,17.11,0.0,0.0,0.0,119,10.0,0,15046,39.9,18.0,f,1,pc4,1990.0,12
11,0,5,rent,112000.0,not verified,n,debt consolidation,200xx,dc,14.96,0.0,0.0,0.0,119,12.0,0,25274,39.5,24.0,f,1,pc3,1993.0,6
12,0,1,rent,148080.0,verified - income,n,debt consolidation,980xx,wa,15.88,0.0,2.0,0.0,119,12.0,0,36546,73.4,27.0,f,1,pc3,1996.0,4
13,0,10,rent,44724.0,not verified,n,wedding,198xx,de,17.41,0.0,3.0,0.0,119,3.0,0,886,25.3,5.0,f,2,pc1,1996.0,10
14,0,1,rent,100000.0,not verified,n,other,920xx,ca,18.66,0.0,0.0,0.0,119,13.0,0,23484,70.1,37.0,f,3,pc3,1999.0,10
15,0,10,mortgage,75000.0,verified - income,n,debt consolidation,604xx,il,13.42,0.0,0.0,0.0,119,5.0,0,18591,37.9,19.0,m,3,pc3,1993.0,1
16,1,10,own,22000.0,verified - income source,n,other small business,324xx,fl,14.95,0.0,0.0,0.0,119,4.0,0,8511,78.8,9.0,m,3,pc2,1993.0,9
17,0,1,rent,30000.0,verified - income source,n,debt consolidation,076xx,nj,19.32,0.0,0.0,0.0,119,9.0,0,5276,62.1,19.0,f,3,pc4,2003.0,1
18,0,3,rent,63000.0,verified - income,n,debt consolidation,925xx,ca,19.09,0.0,1.0,0.0,119,12.0,0,16167,70.3,27.0,f,2,pc2,1999.0,11
19,0,3,mortgage,120000.0,verified - income source,n,house,606xx,il,5.22,1.0,3.0,13.0,119,5.0,0,49805,0.0,36.0,f,1,pc1,1996.0,12
20,1,2,mortgage,72000.0,not verified,n,small business,741xx,ok,17.48,0.0,6.0,0.0,119,13.0,0,1249,6.1,23.0,f,3,pc3,1997.0,11
21,0,1,rent,350000.0,verified - income,n,credit card,234xx,va,12.22,0.0,0.0,34.0,119,8.0,0,27733,80.4,24.0,f,3,pc4,1994.0,9
22,0,10,rent,56000.0,verified - income,n,debt consolidation,908xx,ca,15.43,0.0,0.0,0.0,119,6.0,0,4971,43.5,19.0,f,1,pc2,1995.0,6
23,0,1,mortgage,191000.0,not verified,n,educational,324xx,fl,12.2,0.0,0.0,49.0,119,16.0,0,444,2.5,54.0,f,2,pc1,1987.0,3
24,0,10,rent,47480.0,not verified,n,other,038xx,nh,16.81,0.0,3.0,32.0,119,10.0,0,150,3.1,24.0,f,3,pc1,1999.0,1
25,0,8,mortgage,33600.0,verified - income,n,major purchase,236xx,va,3.93,0.0,1.0,67.0,119,5.0,0,8482,73.8,20.0,f,2,pc1,2000.0,2
26,0,2,mortgage,42000.0,not verified,n,other,142xx,ny,15.89,0.0,1.0,0.0,119,10.0,0,20691,51.6,20.0,f,2,pc5,2000.0,5
27,0,5,mortgage,40000.0,not verified,n,debt consolidation,010xx,ma,10.71,0.0,0.0,0.0,119,11.0,0,2459,44.7,26.0,f,2,pc2,2005.0,7
28,0,3,mortgage,55000.0,not verified,n,credit card,614xx,il,24.94,0.0,8.0,0.0,119,16.0,0,41705,95.2,24.0,f,3,pc2,1994.0,4
29,0,4,rent,120000.0,not verified,n,other,918xx,ca,0.0,0.0,0.0,48.0,119,2.0,0,0,0.0,7.0,f,3,pc2,1995.0,7
30,0,1,mortgage,100000.0,verified - income,n,debt consolidation,200xx,dc,19.99,0.0,1.0,58.0,119,6.0,0,24678,79.0,22.0,f,2,pc5,2001.0,10
31,0,3,mortgage,48000.0,verified - income,n,debt consolidation,287xx,nc,22.59,0.0,2.0,52.0,119,10.0,0,2894,36.2,13.0,f,2,pc3,1997.0,6
32,0,5,rent,41000.0,not verified,n,debt consolidation,972xx,or,20.69,0.0,0.0,39.0,119,6.0,0,10949,61.9,12.0,f,3,pc4,2000.0,10
33,0,1,rent,8000.0,verified - income source,n,car,304xx,ga,15.15,0.0,0.0,0.0,119,6.0,0,2146,20.2,16.0,f,1,pc1,2003.0,8
34,0,10,mortgage,80000.0,verified - income,n,debt consolidation,660xx,ks,8.14,0.0,0.0,0.0,119,10.0,0,14563,68.1,23.0,f,2,pc4,1996.0,2
35,0,2,rent,95000.0,verified - income,n,credit card,232xx,va,13.65,0.0,0.0,0.0,119,8.0,0,27686,54.3,26.0,f,1,pc3,2004.0,10
36,0,4,rent,60000.0,verified - income,n,debt consolidation,802xx,co,9.46,0.0,0.0,60.0,119,14.0,0,9936,16.7,29.0,f,2,pc5,1998.0,8
37,0,2,rent,42000.0,not verified,n,debt consolidation,918xx,ca,12.74,0.0,3.0,62.0,119,11.0,0,528,9.1,22.0,f,3,pc4,2001.0,7
38,0,3,own,36400.0,not verified,n,debt consolidation,606xx,il,10.98,0.0,1.0,0.0,119,8.0,0,6772,72.8,18.0,f,3,pc4,2004.0,1
39,0,1,rent,65400.0,verified - income source,n,credit card,932xx,ca,17.71,0.0,3.0,0.0,119,8.0,0,13041,81.5,36.0,f,3,pc5,1995.0,2
40,0,2,rent,58000.0,not verified,n,debt consolidation,070xx,nj,13.55,0.0,3.0,64.0,119,7.0,0,7616,58.1,16.0,f,3,pc5,2001.0,9
41,0,4,rent,315600.0,verified - income source,n,debt consolidation,088xx,nj,0.98,0.0,2.0,0.0,119,6.0,0,1555,24.7,10.0,f,1,pc3,2007.0,2
42,0,2,mortgage,45000.0,not verified,n,home improvement,210xx,md,7.79,0.0,1.0,0.0,119,9.0,0,780,4.1,19.0,f,2,pc3,1997.0,8
43,0,5,rent,55000.0,not verified,n,debt consolidation,060xx,ct,22.28,0.0,2.0,0.0,119,13.0,0,14217,20.2,25.0,f,2,pc5,2000.0,3
44,0,4,mortgage,141000.0,verified - income,n,major purchase,633xx,mo,8.31,0.0,3.0,0.0,119,10.0,0,55142,45.8,24.0,f,1,pc1,1992.0,9
45,0,7,mortgage,72000.0,not verified,n,car,978xx,or,8.68,0.0,0.0,0.0,119,10.0,0,18885,66.3,43.0,f,2,pc5,1995.0,10
46,0,1,mortgage,35000.0,verified - income source,n,debt consolidation,535xx,wi,14.5,0.0,3.0,0.0,119,12.0,0,17717,67.4,26.0,f,1,pc4,2000.0,1
47,0,3,mortgage,42240.0,not verified,n,debt consolidation,335xx,fl,13.35,1.0,1.0,4.0,119,5.0,0,15974,48.9,16.0,f,1,pc3,1987.0,1
48,0,10,mortgage,66000.0,not verified,n,home improvement,857xx,az,12.58,0.0,1.0,0.0,119,11.0,0,5723,8.4,38.0,f,3,pc4,1996.0,10
49,0,6,rent,86496.0,verified - income source,n,debt consolidation,115xx,ny,14.19,0.0,0.0,0.0,119,6.0,0,12915,85.0,12.0,f,1,pc2,2001.0,1
50,0,10,rent,52656.0,verified - income,n,medical,104xx,ny,7.7,0.0,0.0,34.0,119,16.0,0,0,0.0,24.0,f,3,pc5,1984.0,9
51,1,1,mortgage,120000.0,verified - income source,n,other,207xx,md,21.16,4.0,1.0,4.0,119,25.0,0,43109,72.3,49.0,f,3,pc5,1986.0,7
52,0,1,rent,30000.0,not verified,n,educational,272xx,sc,8.36,0.0,2.0,0.0,119,14.0,0,277,46.2,15.0,f,2,pc3,2006.0,1
53,0,10,mortgage,120000.0,not verified,n,major purchase,913xx,ca,6.98,0.0,0.0,0.0,119,15.0,0,78330,28.6,31.0,f,2,pc4,1980.0,7
54,1,1,rent,23040.0,verified - income source,n,credit card,951xx,ca,12.66,0.0,0.0,63.0,119,6.0,0,8282,62.3,11.0,f,2,pc3,1998.0,12
55,1,1,rent,15000.0,verified - income,n,other,774xx,tx,18.08,0.0,0.0,0.0,119,2.0,0,9279,36.5,3.0,f,1,pc4,2004.0,9
56,0,3,own,43000.0,verified - income,n,debt consolidation,221xx,va,15.49,1.0,1.0,19.0,119,9.0,0,19226,70.9,32.0,f,2,pc4,2000.0,4
57,0,10,mortgage,99600.0,verified - income,n,medical,954xx,ca,15.22,0.0,0.0,0.0,119,11.0,0,60631,70.3,28.0,f,2,pc3,1976.0,6
58,0,10,rent,40000.0,not verified,n,credit card,971xx,or,15.0,0.0,0.0,0.0,119,10.0,0,18601,88.2,11.0,f,1,pc1,2004.0,5
59,0,1,rent,65000.0,not verified,n,small business,554xx,mn,2.79,1.0,2.0,19.0,27,4.0,1,2601,40.6,7.0,f,2,pc2,1999.0,8
60,0,6,mortgage,61781.0,verified - income,n,credit card,453xx,oh,17.15,0.0,4.0,0.0,119,10.0,0,23065,51.1,31.0,f,3,pc4,1981.0,3
61,0,3,rent,72000.0,verified - income,n,debt consolidation,483xx,mi,14.75,0.0,0.0,0.0,119,19.0,0,18421,67.0,28.0,f,2,pc2,2001.0,3
62,0,3,rent,29000.0,not verified,n,debt consolidation,188xx,pa,17.63,0.0,0.0,27.0,119,15.0,0,1155,11.3,24.0,f,1,pc3,2002.0,9
63,0,10,mortgage,42500.0,verified - income,n,debt consolidation,601xx,il,0.28,0.0,3.0,0.0,92,3.0,1,45,0.6,16.0,f,2,pc5,1997.0,7
64,0,1,rent,53052.0,verified - income source,n,other,790xx,tx,18.95,0.0,0.0,0.0,119,4.0,0,4556,53.6,7.0,f,2,pc5,2005.0,3
65,0,1,rent,70000.0,verified - income source,n,credit card,200xx,dc,2.59,0.0,1.0,0.0,119,11.0,0,5231,2.4,20.0,f,2,pc1,1995.0,11
66,0,1,rent,25000.0,verified - income source,n,debt consolidation,995xx,ak,14.59,0.0,1.0,0.0,119,13.0,0,11338,18.6,30.0,f,2,pc5,2006.0,2
67,0,10,mortgage,80000.0,not verified,n,vacation,275xx,nc,20.59,1.0,2.0,15.0,119,30.0,0,6654,22.6,56.0,f,3,pc3,1997.0,7
68,1,4,mortgage,71000.0,verified - income,n,debt consolidation,333xx,fl,13.81,0.0,0.0,0.0,119,14.0,0,6953,67.5,24.0,f,3,pc4,2000.0,4
69,0,8,mortgage,61200.0,verified - income source,n,debt consolidation,720xx,ar,20.94,0.0,3.0,0.0,119,8.0,0,3943,33.4,20.0,f,1,pc2,2002.0,12
70,0,1,rent,48000.0,verified - income,n,wedding,100xx,ny,2.6,0.0,0.0,0.0,119,4.0,0,3935,46.3,5.0,f,2,pc3,2007.0,7
71,0,2,rent,28956.0,verified - income source,n,debt consolidation,787xx,tx,24.08,1.0,2.0,16.0,119,11.0,0,3349,21.2,20.0,f,3,pc5,2002.0,8
72,0,2,mortgage,60000.0,not verified,n,other,791xx,tx,1.36,1.0,0.0,11.0,119,12.0,0,2193,10.5,21.0,f,2,pc1,1984.0,4
73,1,5,rent,44000.0,verified - income,n,debt consolidation,330xx,fl,7.15,0.0,0.0,0.0,119,8.0,0,4913,63.4,12.0,f,2,pc4,2006.0,4
74,0,3,mortgage,55000.0,not verified,n,debt consolidation,334xx,fl,12.56,0.0,2.0,0.0,119,7.0,0,4280,28.2,8.0,f,3,pc1,2006.0,1
75,0,7,mortgage,70000.0,not verified,n,credit card,700xx,la,13.53,0.0,3.0,26.0,119,12.0,0,73764,22.5,39.0,f,1,pc5,1988.0,5
76,0,1,rent,47600.0,not verified,n,debt consolidation,209xx,md,15.53,0.0,1.0,34.0,0,6.0,0,1233,35.2,7.0,m,2,pc2,2003.0,12
77,0,8,mortgage,36000.0,not verified,n,debt consolidation,958xx,ca,21.9,3.0,1.0,9.0,119,6.0,0,6965,89.3,20.0,m,2,pc3,2000.0,1
78,0,10,mortgage,79992.0,verified - income,n,other,930xx,ca,21.75,1.0,0.0,23.0,119,13.0,0,16156,74.5,30.0,m,1,pc5,1997.0,2
79,0,3,rent,31000.0,verified - income source,n,debt consolidation,331xx,fl,19.66,0.0,2.0,31.0,119,11.0,0,3058,28.8,12.0,m,2,pc3,1995.0,8
80,0,1,rent,60000.0,verified - income source,n,wedding,760xx,tx,19.94,0.0,0.0,0.0,119,9.0,0,22253,44.0,27.0,m,2,pc1,1998.0,5
81,0,1,mortgage,250000.0,verified - income,n,major purchase,297xx,sc,1.42,4.0,5.0,15.0,119,5.0,0,427,23.7,43.0,m,1,pc1,1982.0,3
82,0,1,mortgage,24000.0,verified - income source,n,home improvement,601xx,il,3.25,0.0,0.0,0.0,119,5.0,0,1680,56.0,7.0,m,2,pc5,2005.0,10
83,0,1,rent,25000.0,not verified,n,debt consolidation,201xx,va,21.36,0.0,0.0,55.0,119,4.0,0,1333,83.3,19.0,f,1,pc2,2002.0,7
84,0,10,mortgage,65000.0,verified - income source,n,vacation,309xx,ga,2.33,1.0,1.0,17.0,119,8.0,0,2937,10.8,17.0,f,2,pc4,1989.0,1
85,0,8,rent,90000.0,verified - income,n,credit card,208xx,md,5.24,0.0,1.0,42.0,119,17.0,0,15077,46.7,28.0,f,1,pc3,2001.0,10
86,1,10,rent,55000.0,not verified,n,other small business,306xx,ga,16.97,0.0,0.0,44.0,119,5.0,0,3052,41.8,22.0,f,1,pc2,1992.0,9
87,0,4,rent,159996.0,verified - income,n,credit card,432xx,oh,6.84,0.0,0.0,0.0,119,11.0,0,18115,98.5,35.0,f,1,pc1,1995.0,12
88,0,2,rent,45000.0,not verified,n,debt consolidation,173xx,pa,17.28,0.0,7.0,78.0,88,11.0,1,3102,48.5,29.0,f,3,pc3,2001.0,6
89,1,4,rent,70000.0,verified - income source,n,small business,946xx,ca,6.17,0.0,0.0,0.0,119,3.0,0,4789,47.9,3.0,f,2,pc4,2004.0,9
90,0,1,rent,51400.0,not verified,n,debt consolidation,223xx,va,1.77,0.0,2.0,0.0,119,7.0,0,1744,16.0,9.0,f,3,pc3,2006.0,7
91,0,4,rent,33000.0,verified - income,n,debt consolidation,551xx,mn,17.38,1.0,1.0,19.0,119,6.0,0,0,0.0,20.0,f,1,pc3,2004.0,5
92,0,7,mortgage,130000.0,verified - income,n,small business,984xx,wa,7.76,0.0,0.0,38.0,119,13.0,0,4039,14.8,38.0,f,3,pc2,1991.0,8
93,0,1,mortgage,137004.0,verified - income,n,debt consolidation,296xx,sc,20.69,0.0,0.0,0.0,119,15.0,0,116150,54.6,34.0,f,2,pc4,1992.0,10
94,0,5,own,48575.0,verified - income source,n,debt consolidation,201xx,va,22.33,0.0,1.0,0.0,119,15.0,0,9877,56.8,22.0,f,1,pc3,1983.0,2
95,0,10,mortgage,155000.0,verified - income,n,debt consolidation,920xx,ca,12.4,0.0,0.0,0.0,119,9.0,0,23039,26.6,36.0,f,2,pc2,1990.0,8
96,0,10,mortgage,81847.0,verified - income source,n,educational,080xx,nj,6.03,0.0,5.0,0.0,98,9.0,1,11754,41.0,21.0,f,2,pc1,1990.0,10
97,1,9,mortgage,55200.0,not verified,n,small business,952xx,ca,20.39,2.0,0.0,17.0,119,9.0,0,35294,95.9,49.0,f,3,pc4,1999.0,1
98,1,1,mortgage,120000.0,verified - income,n,credit card,920xx,ca,9.69,0.0,0.0,54.0,119,10.0,0,7796,32.2,27.0,f,2,pc4,2001.0,2
99,0,3,mortgage,200000.0,verified - income source,n,debt consolidation,913xx,ca,6.71,0.0,0.0,0.0,119,11.0,0,8937,20.8,17.0,f,3,pc5,2000.0,1
100,0,1,rent,47840.0,verified - income,n,debt consolidation,333xx,fl,24.18,0.0,0.0,0.0,119,8.0,0,21507,68.5,8.0,f,1,pc2,2004.0,4
101,0,3,rent,61000.0,verified - income source,n,vacation,752xx,tx,0.98,0.0,5.0,0.0,119,8.0,0,1939,6.2,9.0,f,3,pc2,2006.0,10
102,0,7,own,61000.0,verified - income,n,house,170xx,pa,9.68,0.0,3.0,0.0,113,7.0,1,1284,6.3,22.0,f,2,pc4,1993.0,1
103,0,2,own,27600.0,verified - income source,n,debt consolidation,310xx,ga,21.83,0.0,0.0,0.0,119,5.0,0,7135,46.6,6.0,f,1,pc1,2006.0,7
104,0,8,rent,65000.0,not verified,n,other,021xx,ma,0.65,0.0,0.0,0.0,119,7.0,0,1252,4.5,12.0,f,3,pc2,2001.0,5
105,0,8,mortgage,56000.0,not verified,n,debt consolidation,982xx,wa,8.46,0.0,0.0,0.0,119,5.0,0,13923,77.3,12.0,f,1,pc4,1997.0,5
106,1,1,rent,36000.0,not verified,n,debt consolidation,013xx,ma,17.27,0.0,3.0,0.0,110,9.0,1,7976,47.2,15.0,f,1,pc3,1998.0,12
107,1,1,rent,22800.0,verified - income source,n,home improvement,967xx,hi,24.89,0.0,1.0,27.0,119,3.0,0,192,48.0,5.0,f,3,pc3,2000.0,7
108,0,4,mortgage,40000.0,not verified,n,other,455xx,oh,16.47,0.0,4.0,41.0,119,9.0,0,8747,74.8,16.0,f,1,pc2,1996.0,6
109,0,10,mortgage,90474.0,verified - income,n,debt consolidation,207xx,md,9.64,0.0,1.0,48.0,119,20.0,0,22400,19.9,62.0,f,2,pc1,1978.0,5
110,0,10,mortgage,130000.0,verified - income,n,debt consolidation,852xx,az,5.39,0.0,0.0,0.0,119,6.0,0,20964,35.6,29.0,f,2,pc4,1995.0,11
111,0,10,mortgage,45000.0,verified - income source,n,credit card,301xx,ga,15.6,0.0,0.0,0.0,119,4.0,0,17588,93.1,13.0,f,1,pc4,1999.0,8
112,1,1,rent,115000.0,verified - income,n,wedding,903xx,ca,1.39,0.0,1.0,0.0,119,9.0,0,30215,49.6,17.0,f,3,pc2,2003.0,5
113,0,2,rent,51400.0,not verified,n,credit card,752xx,tx,19.14,0.0,3.0,0.0,119,10.0,0,10160,59.1,24.0,f,2,pc5,2000.0,10
114,0,5,rent,46199.0,verified - income,n,credit card,806xx,co,23.42,0.0,4.0,0.0,119,6.0,0,22558,76.5,11.0,f,3,pc2,1998.0,2
115,0,10,mortgage,82000.0,verified - income,n,home improvement,481xx,mi,14.59,0.0,8.0,0.0,119,10.0,0,31830,41.3,28.0,f,3,pc4,1994.0,1
116,0,9,mortgage,61000.0,verified - income source,n,credit card,856xx,az,5.08,0.0,0.0,0.0,119,5.0,0,12653,48.9,14.0,f,3,pc1,2004.0,4
117,0,4,rent,120000.0,verified - income,n,debt consolidation,787xx,tx,15.23,0.0,1.0,0.0,119,11.0,0,25822,71.1,27.0,f,1,pc4,1996.0,1
118,0,2,mortgage,100000.0,verified - income source,n,debt consolidation,256xx,wv,9.13,0.0,0.0,43.0,87,10.0,1,9331,79.1,24.0,f,2,pc3,1995.0,5
119,0,0,mortgage,55200.0,verified - income,n,debt consolidation,157xx,pa,16.76,0.0,1.0,38.0,119,26.0,0,26676,33.1,53.0,f,1,pc3,1970.0,10
120,0,3,mortgage,112800.0,verified - income,n,debt consolidation,144xx,ny,14.35,0.0,1.0,0.0,119,17.0,0,38121,59.6,35.0,f,2,pc5,1987.0,8
121,0,10,mortgage,145000.0,verified - income,n,debt consolidation,063xx,ct,5.74,0.0,3.0,0.0,119,6.0,0,28648,61.0,26.0,f,3,pc3,1985.0,8
122,0,10,mortgage,75000.0,verified - income,n,debt consolidation,773xx,tx,13.15,0.0,0.0,0.0,119,13.0,0,13901,29.8,33.0,f,3,pc2,1988.0,1
123,0,6,rent,75000.0,verified - income source,n,debt consolidation,021xx,ma,19.09,0.0,1.0,78.0,119,12.0,0,16865,70.0,32.0,f,3,pc5,1996.0,12
124,0,5,rent,65000.0,verified - income,n,debt consolidation,799xx,tx,20.62,0.0,3.0,0.0,93,11.0,1,14658,68.2,27.0,f,1,pc2,2001.0,10
125,0,3,rent,50000.0,not verified,n,credit card,606xx,il,13.73,0.0,0.0,0.0,119,5.0,0,20791,94.5,10.0,f,2,pc5,2001.0,3
126,0,10,rent,85000.0,not verified,n,major purchase,070xx,nj,17.92,0.0,0.0,28.0,119,4.0,0,28824,39.2,7.0,f,1,pc3,1997.0,8
127,0,10,rent,137481.0,not verified,n,debt consolidation,761xx,tx,4.81,1.0,0.0,16.0,119,5.0,0,20042,50.9,34.0,f,2,pc4,1985.0,6
128,0,4,rent,47000.0,not verified,n,credit card,951xx,ca,13.53,0.0,0.0,0.0,119,7.0,0,7686,78.4,10.0,f,1,pc1,2005.0,1
129,0,5,rent,58344.0,not verified,n,debt consolidation,662xx,ks,6.38,0.0,1.0,56.0,119,6.0,0,11927,75.5,19.0,f,2,pc4,1999.0,9
130,0,1,rent,32400.0,not verified,n,car,554xx,mn,21.22,0.0,1.0,0.0,119,8.0,0,14667,69.2,15.0,f,1,pc5,2001.0,2
131,0,1,mortgage,122000.0,not verified,n,credit card,600xx,il,7.55,0.0,5.0,0.0,119,8.0,0,62681,25.9,25.0,f,3,pc2,1999.0,3
132,1,1,mortgage,65000.0,verified - income,n,debt consolidation small business,606xx,il,3.01,0.0,1.0,0.0,119,5.0,0,6526,94.6,8.0,f,1,pc1,2007.0,7
133,0,5,mortgage,82000.0,not verified,n,debt consolidation,440xx,oh,21.73,1.0,6.0,6.0,119,15.0,0,111611,17.4,24.0,f,3,pc4,1991.0,7
134,0,10,rent,52000.0,verified - income,n,debt consolidation,402xx,ky,16.57,0.0,1.0,37.0,119,7.0,0,5437,22.4,41.0,f,1,pc4,1995.0,5
135,0,5,rent,180000.0,verified - income source,n,debt consolidation,946xx,ca,21.17,0.0,0.0,0.0,119,16.0,0,12318,78.0,61.0,f,2,pc1,2000.0,8
136,0,10,rent,55000.0,verified - income,n,other,112xx,ny,15.75,0.0,0.0,0.0,119,8.0,0,10572,53.9,18.0,f,1,pc5,1994.0,9
137,0,3,rent,78402.0,not verified,n,debt consolidation,900xx,ca,10.24,1.0,0.0,5.0,119,3.0,0,1094,31.3,16.0,f,1,pc5,1998.0,5
138,0,10,rent,65496.0,not verified,n,other,782xx,tx,13.81,0.0,1.0,26.0,119,11.0,0,5205,13.4,39.0,f,1,pc3,1986.0,9
139,0,7,mortgage,200000.0,verified - income,n,debt consolidation,920xx,ca,3.74,0.0,1.0,0.0,119,10.0,0,12147,67.5,18.0,f,1,pc1,1990.0,9
140,0,4,mortgage,30000.0,not verified,n,credit card,605xx,il,20.28,0.0,0.0,0.0,119,13.0,0,6024,45.3,24.0,f,3,pc4,1999.0,8
141,0,2,mortgage,114000.0,not verified,n,debt consolidation,762xx,tx,15.02,0.0,2.0,0.0,101,12.0,1,18071,65.5,24.0,f,1,pc2,1984.0,8
142,0,4,own,37560.0,not verified,n,debt consolidation,706xx,la,26.84,0.0,0.0,0.0,119,4.0,0,17596,96.2,8.0,f,2,pc2,2000.0,8
143,0,8,rent,75000.0,verified - income source,n,major purchase,703xx,la,6.22,0.0,2.0,0.0,119,11.0,0,72,0.6,12.0,f,2,pc1,2005.0,4
144,0,1,rent,61000.0,not verified,n,credit card,302xx,ga,23.08,0.0,5.0,0.0,119,7.0,0,9433,76.3,13.0,f,1,pc4,2001.0,5
145,1,1,mortgage,100000.0,verified - income,n,small business,907xx,ca,13.31,0.0,1.0,0.0,119,16.0,0,13931,75.8,24.0,f,3,pc4,1995.0,1
146,0,1,rent,28000.0,not verified,n,major purchase,181xx,pa,1.76,0.0,1.0,0.0,119,6.0,0,1292,4.3,8.0,f,2,pc4,2002.0,8
147,0,10,own,130000.0,verified - income,n,credit card,945xx,ca,19.62,0.0,0.0,0.0,119,9.0,0,61165,91.3,28.0,f,3,pc5,1985.0,9
148,0,1,mortgage,37500.0,not verified,n,home improvement,286xx,nc,6.62,0.0,1.0,0.0,119,4.0,0,7187,92.1,21.0,f,2,pc3,2002.0,2
149,1,10,rent,45000.0,verified - income source,n,other,922xx,ca,14.11,1.0,3.0,17.0,119,7.0,0,3641,79.2,19.0,f,3,pc5,2002.0,4
150,1,7,rent,52800.0,verified - income source,n,credit card,268xx,wv,24.94,0.0,1.0,0.0,119,8.0,0,10290,85.0,12.0,f,3,pc1,2000.0,12
151,1,10,mortgage,39168.0,not verified,n,debt consolidation,945xx,ca,24.85,0.0,1.0,36.0,77,13.0,1,6347,81.6,30.0,f,1,pc2,1997.0,3
152,0,5,rent,58000.0,verified - income source,n,debt consolidation,787xx,tx,20.32,0.0,0.0,0.0,119,12.0,0,6790,52.6,29.0,f,3,pc4,2000.0,6
153,0,10,mortgage,88812.93,verified - income,n,credit card,181xx,pa,18.56,0.0,2.0,0.0,119,8.0,0,33844,85.9,27.0,f,2,pc5,1994.0,11
154,0,10,rent,42000.0,not verified,n,other,750xx,tx,21.17,0.0,2.0,0.0,119,25.0,0,9669,16.6,37.0,f,1,pc5,1984.0,11
155,0,2,mortgage,43000.0,verified - income,n,other,775xx,tx,23.44,0.0,2.0,0.0,119,9.0,0,5049,48.5,12.0,f,3,pc4,1997.0,1
156,0,8,mortgage,115000.0,not verified,n,debt consolidation,029xx,ri,7.78,0.0,2.0,44.0,119,7.0,0,12340,71.3,46.0,f,2,pc4,1997.0,8
157,0,10,mortgage,93000.0,not verified,n,home improvement,481xx,mi,10.89,0.0,0.0,0.0,119,13.0,0,60376,47.9,27.0,f,3,pc5,1983.0,11
158,0,1,rent,10000.0,not verified,n,educational,606xx,il,19.68,0.0,0.0,0.0,119,3.0,0,603,6.2,4.0,f,3,pc2,2005.0,11
159,0,7,own,350000.0,not verified,n,small business,024xx,ma,11.38,0.0,7.0,0.0,119,13.0,0,1207359,56.0,33.0,f,2,pc5,1986.0,10
160,0,2,mortgage,51996.0,verified - income source,n,debt consolidation,935xx,ca,23.96,0.0,3.0,0.0,119,8.0,0,8437,63.0,14.0,f,3,pc1,2004.0,7
161,0,10,mortgage,140000.0,verified - income source,n,credit card,913xx,ca,3.05,0.0,0.0,28.0,119,21.0,0,16621,20.6,50.0,f,1,pc2,1970.0,2
162,0,3,rent,61200.0,not verified,n,debt consolidation,111xx,ny,11.02,0.0,0.0,0.0,119,12.0,0,6577,51.0,20.0,f,3,pc5,1999.0,12
