,emp_length,annual_inc,debt_to_income,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,collections_12_mths_ex_med,mths_since_last_major_derog,cr_line_yrs,cr_line_mths,cr_line_days,is_bad,purpose_cat,policy_code,home_ownership,verification_status,initial_list_status,pymnt_plan,zip_code,addr_state,emp_title
11,5,112000.0,14.96,0.0,0.0,,,12.0,0.0,25274,39.5,24.0,0.0,1,1993.0,6.0,1.0,0,4,2,4,0,0,0,158,7,1961
12,1,148080.0,15.88,0.0,2.0,,,12.0,0.0,36546,73.4,27.0,0.0,1,1996.0,4.0,1.0,0,4,2,4,1,0,0,703,46,622
13,10,44724.0,17.41,0.0,3.0,,,3.0,0.0,886,25.3,5.0,0.0,2,1996.0,10.0,1.0,0,25,0,4,0,0,0,156,8,5313
14,1,100000.0,18.66,0.0,0.0,,,13.0,0.0,23484,70.1,37.0,0.0,3,1999.0,10.0,1.0,0,18,2,4,0,0,0,653,4,970
15,10,75000.0,13.42,0.0,0.0,,,5.0,0.0,18591,37.9,19.0,0.0,3,1993.0,1.0,1.0,0,4,2,0,1,1,0,440,14,6557
16,10,22000.0,14.95,0.0,0.0,,,4.0,0.0,8511,78.8,9.0,0.0,3,1993.0,9.0,1.0,1,19,1,3,2,1,0,269,9,4639
17,1,30000.0,19.32,0.0,0.0,,,9.0,0.0,5276,62.1,19.0,0.0,3,2003.0,1.0,1.0,0,4,3,4,2,0,0,50,30,6547
18,3,63000.0,19.09,0.0,1.0,,,12.0,0.0,16167,70.3,27.0,0.0,2,1999.0,11.0,1.0,0,4,1,4,1,0,0,657,4,5943
19,3,120000.0,5.22,1.0,3.0,13.0,,5.0,0.0,49805,0.0,36.0,0.0,1,1996.0,12.0,1.0,0,10,0,0,2,0,0,442,14,4985
20,2,72000.0,17.48,0.0,6.0,,,13.0,0.0,1249,6.1,23.0,0.0,3,1997.0,11.0,1.0,1,21,2,0,0,0,0,536,35,3075
21,1,350000.0,12.22,0.0,0.0,34.0,,8.0,0.0,27733,80.4,24.0,0.0,3,1994.0,9.0,1.0,0,2,3,4,1,0,0,187,44,2241
22,10,56000.0,15.43,0.0,0.0,,,6.0,0.0,4971,43.5,19.0,0.0,1,1995.0,6.0,1.0,0,4,1,4,1,0,0,642,4,4077
23,1,191000.0,12.2,0.0,0.0,49.0,,16.0,0.0,444,2.5,54.0,0.0,2,1987.0,3.0,1.0,0,6,0,0,0,0,0,269,9,5444
24,10,47480.0,16.81,0.0,3.0,32.0,,10.0,0.0,150,3.1,24.0,0.0,3,1999.0,1.0,1.0,0,18,0,4,0,0,0,26,29,7281
25,8,33600.0,3.93,0.0,1.0,67.0,,5.0,0.0,8482,73.8,20.0,0.0,2,2000.0,2.0,1.0,0,12,0,0,1,0,0,189,44,4863
26,2,42000.0,15.89,0.0,1.0,,,10.0,0.0,20691,51.6,20.0,0.0,2,2000.0,5.0,1.0,0,18,4,0,0,0,0,106,33,4656
27,5,40000.0,10.71,0.0,0.0,,,11.0,0.0,2459,44.7,26.0,0.0,2,2005.0,7.0,1.0,0,4,1,0,0,0,0,1,19,3202
28,3,55000.0,24.94,0.0,8.0,,,16.0,0.0,41705,95.2,24.0,0.0,3,1994.0,4.0,1.0,0,2,1,0,0,0,0,450,14,3438
29,4,120000.0,0.0,0.0,0.0,48.0,,2.0,0.0,0,0.0,7.0,0.0,3,1995.0,7.0,1.0,0,18,1,4,0,0,0,651,4,2268
30,1,100000.0,19.99,0.0,1.0,58.0,,6.0,0.0,24678,79.0,22.0,0.0,2,2001.0,10.0,1.0,0,4,4,0,1,0,0,158,7,3342
31,3,48000.0,22.59,0.0,2.0,52.0,,10.0,0.0,2894,36.2,13.0,0.0,2,1997.0,6.0,1.0,0,4,2,0,1,0,0,234,27,7358
32,5,41000.0,20.69,0.0,0.0,39.0,,6.0,0.0,10949,61.9,12.0,0.0,3,2000.0,10.0,1.0,0,4,3,4,0,0,0,696,36,5977
33,1,8000.0,15.15,0.0,0.0,,,6.0,0.0,2146,20.2,16.0,0.0,1,2003.0,8.0,1.0,0,0,0,4,2,0,0,250,10,4455
34,10,80000.0,8.14,0.0,0.0,,,10.0,0.0,14563,68.1,23.0,0.0,2,1996.0,2.0,1.0,0,4,3,0,1,0,0,487,16,2900
35,2,95000.0,13.65,0.0,0.0,,,8.0,0.0,27686,54.3,26.0,0.0,1,2004.0,10.0,1.0,0,2,2,4,1,0,0,185,44,3083
36,4,60000.0,9.46,0.0,0.0,60.0,,14.0,0.0,9936,16.7,29.0,0.0,2,1998.0,8.0,1.0,0,4,4,4,1,0,0,584,5,1408
37,2,42000.0,12.74,0.0,3.0,62.0,,11.0,0.0,528,9.1,22.0,0.0,3,2001.0,7.0,1.0,0,4,3,4,0,0,0,651,4,3874
38,3,36400.0,10.98,0.0,1.0,,,8.0,0.0,6772,72.8,18.0,0.0,3,2004.0,1.0,1.0,0,4,3,3,0,0,0,442,14,4731
39,1,65400.0,17.71,0.0,3.0,,,8.0,0.0,13041,81.5,36.0,0.0,3,1995.0,2.0,1.0,0,2,4,4,2,0,0,663,4,520
40,2,58000.0,13.55,0.0,3.0,64.0,,7.0,0.0,7616,58.1,16.0,0.0,3,2001.0,9.0,1.0,0,4,4,4,0,0,0,44,30,4336
41,4,315600.0,0.98,0.0,2.0,,,6.0,0.0,1555,24.7,10.0,0.0,1,2007.0,2.0,1.0,0,4,2,4,2,0,0,62,30,4445
42,2,45000.0,7.79,0.0,1.0,,,9.0,0.0,780,4.1,19.0,0.0,2,1997.0,8.0,1.0,0,8,2,0,0,0,0,164,20,3399
43,5,55000.0,22.28,0.0,2.0,,,13.0,0.0,14217,20.2,25.0,0.0,2,2000.0,3.0,1.0,0,4,4,4,0,0,0,34,6,1783
44,4,141000.0,8.31,0.0,3.0,,,10.0,0.0,55142,45.8,24.0,0.0,1,1992.0,9.0,1.0,0,12,0,0,1,0,0,465,24,5902
45,7,72000.0,8.68,0.0,0.0,,,10.0,0.0,18885,66.3,43.0,0.0,2,1995.0,10.0,1.0,0,0,4,0,0,0,0,702,36,2910
46,1,35000.0,14.5,0.0,3.0,,,12.0,0.0,17717,67.4,26.0,0.0,1,2000.0,1.0,1.0,0,4,3,0,2,0,0,396,47,5983
47,3,42240.0,13.35,1.0,1.0,4.0,,5.0,0.0,15974,48.9,16.0,0.0,1,1987.0,1.0,1.0,0,4,2,0,0,0,0,279,9,6676
48,10,66000.0,12.58,0.0,1.0,,,11.0,0.0,5723,8.4,38.0,0.0,3,1996.0,10.0,1.0,0,8,3,0,0,0,0,617,3,3774
49,6,86496.0,14.19,0.0,0.0,,,6.0,0.0,12915,85.0,12.0,0.0,1,2001.0,1.0,1.0,0,4,1,4,2,0,0,79,33,2670
50,10,52656.0,7.7,0.0,0.0,34.0,,16.0,0.0,0,0.0,24.0,0.0,3,1984.0,9.0,1.0,0,14,4,4,1,0,0,68,33,7198
51,1,120000.0,21.16,4.0,1.0,4.0,,25.0,0.0,43109,72.3,49.0,0.0,3,1986.0,7.0,1.0,1,18,4,0,2,0,0,161,20,2209
52,1,30000.0,8.36,0.0,2.0,,,14.0,0.0,277,46.2,15.0,0.0,2,2006.0,1.0,1.0,0,6,2,4,0,0,0,219,39,7475
53,10,120000.0,6.98,0.0,0.0,,,15.0,0.0,78330,28.6,31.0,0.0,2,1980.0,7.0,1.0,0,12,3,0,0,0,0,646,4,3848
54,1,23040.0,12.66,0.0,0.0,63.0,,6.0,0.0,8282,62.3,11.0,0.0,2,1998.0,12.0,1.0,1,2,2,4,2,0,0,680,4,1911
55,1,15000.0,18.08,0.0,0.0,,,2.0,0.0,9279,36.5,3.0,0.0,1,2004.0,9.0,1.0,1,18,3,4,1,0,0,560,42,6450
56,3,43000.0,15.49,1.0,1.0,19.0,,9.0,0.0,19226,70.9,32.0,0.0,2,2000.0,4.0,1.0,0,4,3,3,1,0,0,174,44,5482
57,10,99600.0,15.22,0.0,0.0,,,11.0,0.0,60631,70.3,28.0,0.0,2,1976.0,6.0,1.0,0,14,2,0,1,0,0,683,4,3125
58,10,40000.0,15.0,0.0,0.0,,,10.0,0.0,18601,88.2,11.0,0.0,1,2004.0,5.0,1.0,0,2,0,4,0,0,0,695,36,1458
59,1,65000.0,2.79,1.0,2.0,19.0,27.0,4.0,1.0,2601,40.6,7.0,0.0,2,1999.0,8.0,1.0,0,21,1,4,0,0,0,413,23,368
60,6,61781.0,17.15,0.0,4.0,,,10.0,0.0,23065,51.1,31.0,0.0,3,1981.0,3.0,1.0,0,2,3,0,1,0,0,361,34,2321
61,3,72000.0,14.75,0.0,0.0,,,19.0,0.0,18421,67.0,28.0,0.0,2,2001.0,3.0,1.0,0,4,1,4,1,0,0,375,22,2786
62,3,29000.0,17.63,0.0,0.0,27.0,,15.0,0.0,1155,11.3,24.0,0.0,1,2002.0,9.0,1.0,0,4,2,4,0,0,0,147,37,1232
63,10,42500.0,0.28,0.0,3.0,,92.0,3.0,1.0,45,0.6,16.0,0.0,2,1997.0,7.0,1.0,0,4,4,0,1,0,0,437,14,3590
64,1,53052.0,18.95,0.0,0.0,,,4.0,0.0,4556,53.6,7.0,0.0,2,2005.0,3.0,1.0,0,18,4,4,2,0,0,573,42,6590
65,1,70000.0,2.59,0.0,1.0,,,11.0,0.0,5231,2.4,20.0,0.0,2,1995.0,11.0,1.0,0,2,0,4,2,0,0,158,7,849
66,1,25000.0,14.59,0.0,1.0,,,13.0,0.0,11338,18.6,30.0,0.0,2,2006.0,2.0,1.0,0,4,4,4,2,0,0,716,0,4458
67,10,80000.0,20.59,1.0,2.0,15.0,,30.0,0.0,6654,22.6,56.0,0.0,3,1997.0,7.0,1.0,0,23,2,0,0,0,0,222,27,3335
68,4,71000.0,13.81,0.0,0.0,,,14.0,0.0,6953,67.5,24.0,0.0,3,2000.0,4.0,1.0,1,4,3,0,1,0,0,277,9,2491
69,8,61200.0,20.94,0.0,3.0,,,8.0,0.0,3943,33.4,20.0,0.0,1,2002.0,12.0,1.0,0,4,1,0,2,0,0,521,2,505
70,1,48000.0,2.6,0.0,0.0,,,4.0,0.0,3935,46.3,5.0,0.0,2,2007.0,7.0,1.0,0,25,2,4,1,0,0,64,33,1624
71,2,28956.0,24.08,1.0,2.0,16.0,,11.0,0.0,3349,21.2,20.0,0.0,3,2002.0,8.0,1.0,0,4,4,4,2,0,0,571,42,3040
72,2,60000.0,1.36,1.0,0.0,11.0,,12.0,0.0,2193,10.5,21.0,0.0,2,1984.0,4.0,1.0,0,18,0,0,0,0,0,574,42,6701
73,5,44000.0,7.15,0.0,0.0,,,8.0,0.0,4913,63.4,12.0,0.0,2,2006.0,4.0,1.0,1,4,3,4,1,0,0,275,9,5225
74,3,55000.0,12.56,0.0,2.0,,,7.0,0.0,4280,28.2,8.0,0.0,3,2006.0,1.0,1.0,0,4,0,0,0,0,0,278,9,4820
75,7,70000.0,13.53,0.0,3.0,26.0,,12.0,0.0,73764,22.5,39.0,0.0,1,1988.0,5.0,1.0,0,2,4,0,0,0,0,505,18,2920
76,1,47600.0,15.53,0.0,1.0,34.0,0.0,6.0,0.0,1233,35.2,7.0,0.0,2,2003.0,12.0,1.0,0,4,1,4,0,1,0,163,20,4672
77,8,36000.0,21.9,3.0,1.0,9.0,,6.0,0.0,6965,89.3,20.0,0.0,2,2000.0,1.0,1.0,0,4,2,0,0,1,0,687,4,4736
78,10,79992.0,21.75,1.0,0.0,23.0,,13.0,0.0,16156,74.5,30.0,0.0,1,1997.0,2.0,1.0,0,18,4,0,1,1,0,661,4,519
79,3,31000.0,19.66,0.0,2.0,31.0,,11.0,0.0,3058,28.8,12.0,0.0,2,1995.0,8.0,1.0,0,4,2,4,2,1,0,276,9,5387
80,1,60000.0,19.94,0.0,0.0,,,9.0,0.0,22253,44.0,27.0,0.0,2,1998.0,5.0,1.0,0,25,0,4,2,1,0,549,42,669
81,1,250000.0,1.42,4.0,5.0,15.0,,5.0,0.0,427,23.7,43.0,0.0,1,1982.0,3.0,1.0,0,12,0,0,1,1,0,243,39,2106
82,1,24000.0,3.25,0.0,0.0,,,5.0,0.0,1680,56.0,7.0,0.0,2,2005.0,10.0,1.0,0,8,4,0,2,1,0,437,14,5621
83,1,25000.0,21.36,0.0,0.0,55.0,,4.0,0.0,1333,83.3,19.0,0.0,1,2002.0,7.0,1.0,0,4,1,4,0,0,0,159,44,5822
84,10,65000.0,2.33,1.0,1.0,17.0,,8.0,0.0,2937,10.8,17.0,0.0,2,1989.0,1.0,1.0,0,23,3,0,2,0,0,255,10,2937
85,8,90000.0,5.24,0.0,1.0,42.0,,17.0,0.0,15077,46.7,28.0,0.0,1,2001.0,10.0,1.0,0,2,2,4,1,0,0,162,20,3141
86,10,55000.0,16.97,0.0,0.0,44.0,,5.0,0.0,3052,41.8,22.0,0.0,1,1992.0,9.0,1.0,1,19,1,4,0,0,0,252,10,1593
87,4,159996.0,6.84,0.0,0.0,,,11.0,0.0,18115,98.5,35.0,0.0,1,1995.0,12.0,1.0,0,2,0,4,1,0,0,342,34,5435
88,2,45000.0,17.28,0.0,7.0,78.0,88.0,11.0,1.0,3102,48.5,29.0,0.0,3,2001.0,6.0,1.0,0,4,2,4,0,0,0,132,37,7701
89,4,70000.0,6.17,0.0,0.0,,,3.0,0.0,4789,47.9,3.0,0.0,2,2004.0,9.0,1.0,1,21,3,4,2,0,0,675,4,1024
90,1,51400.0,1.77,0.0,2.0,,,7.0,0.0,1744,16.0,9.0,0.0,3,2006.0,7.0,1.0,0,4,2,4,0,0,0,176,44,1998
91,4,33000.0,17.38,1.0,1.0,19.0,,6.0,0.0,0,0.0,20.0,0.0,1,2004.0,5.0,1.0,0,4,2,4,1,0,0,411,23,632
92,7,130000.0,7.76,0.0,0.0,38.0,,13.0,0.0,4039,14.8,38.0,0.0,3,1991.0,8.0,1.0,0,21,1,0,1,0,0,707,46,5403
93,1,137004.0,20.69,0.0,0.0,,,15.0,0.0,116150,54.6,34.0,0.0,2,1992.0,10.0,1.0,0,4,3,0,1,0,0,242,39,2946
94,5,48575.0,22.33,0.0,1.0,,,15.0,0.0,9877,56.8,22.0,0.0,1,1983.0,2.0,1.0,0,4,2,3,2,0,0,159,44,4092
95,10,155000.0,12.4,0.0,0.0,,,9.0,0.0,23039,26.6,36.0,0.0,2,1990.0,8.0,1.0,0,4,1,0,1,0,0,653,4,1493
96,10,81847.0,6.03,0.0,5.0,,98.0,9.0,1.0,11754,41.0,21.0,0.0,2,1990.0,10.0,1.0,0,6,0,0,2,0,0,54,30,6173
97,9,55200.0,20.39,2.0,0.0,17.0,,9.0,0.0,35294,95.9,49.0,0.0,3,1999.0,1.0,1.0,1,21,3,0,0,0,0,681,4,3084
98,1,120000.0,9.69,0.0,0.0,54.0,,10.0,0.0,7796,32.2,27.0,0.0,2,2001.0,2.0,1.0,1,2,3,0,1,0,0,653,4,5243
99,3,200000.0,6.71,0.0,0.0,,,11.0,0.0,8937,20.8,17.0,0.0,3,2000.0,1.0,1.0,0,4,4,0,2,0,0,646,4,2936
100,1,47840.0,24.18,0.0,0.0,,,8.0,0.0,21507,68.5,8.0,0.0,1,2004.0,4.0,1.0,0,4,1,4,1,0,0,277,9,7026
101,3,61000.0,0.98,0.0,5.0,,,8.0,0.0,1939,6.2,9.0,0.0,3,2006.0,10.0,1.0,0,23,1,4,2,0,0,544,42,4639
102,7,61000.0,9.68,0.0,3.0,,113.0,7.0,1.0,1284,6.3,22.0,0.0,2,1993.0,1.0,1.0,0,10,3,3,1,0,0,130,37,388
103,2,27600.0,21.83,0.0,0.0,,,5.0,0.0,7135,46.6,6.0,0.0,1,2006.0,7.0,1.0,0,4,0,3,2,0,0,256,10,5780
104,8,65000.0,0.65,0.0,0.0,,,7.0,0.0,1252,4.5,12.0,0.0,3,2001.0,5.0,1.0,0,18,1,4,0,0,0,12,19,6506
105,8,56000.0,8.46,0.0,0.0,,,5.0,0.0,13923,77.3,12.0,0.0,1,1997.0,5.0,1.0,0,4,3,0,0,0,0,705,46,7498
106,1,36000.0,17.27,0.0,3.0,,110.0,9.0,1.0,7976,47.2,15.0,0.0,1,1998.0,12.0,1.0,1,4,2,4,0,0,0,4,19,7275
107,1,22800.0,24.89,0.0,1.0,27.0,,3.0,0.0,192,48.0,5.0,0.0,3,2000.0,7.0,1.0,1,8,2,4,2,0,0,691,11,302
108,4,40000.0,16.47,0.0,4.0,41.0,,9.0,0.0,8747,74.8,16.0,0.0,1,1996.0,6.0,1.0,0,18,1,0,0,0,0,363,34,553
109,10,90474.0,9.64,0.0,1.0,48.0,,20.0,0.0,22400,19.9,62.0,0.0,2,1978.0,5.0,1.0,0,4,0,0,1,0,0,161,20,2020
110,10,130000.0,5.39,0.0,0.0,,,6.0,0.0,20964,35.6,29.0,0.0,2,1995.0,11.0,1.0,0,4,3,0,1,0,0,614,3,669
111,10,45000.0,15.6,0.0,0.0,,,4.0,0.0,17588,93.1,13.0,0.0,1,1999.0,8.0,1.0,0,2,3,0,2,0,0,247,10,3845
112,1,115000.0,1.39,0.0,1.0,,,9.0,0.0,30215,49.6,17.0,0.0,3,2003.0,5.0,1.0,1,25,1,4,1,0,0,637,4,6023
113,2,51400.0,19.14,0.0,3.0,,,10.0,0.0,10160,59.1,24.0,0.0,2,2000.0,10.0,1.0,0,2,4,4,0,0,0,544,42,1938
114,5,46199.0,23.42,0.0,4.0,,,6.0,0.0,22558,76.5,11.0,0.0,3,1998.0,2.0,1.0,0,2,1,4,1,0,0,588,5,7636
115,10,82000.0,14.59,0.0,8.0,,,10.0,0.0,31830,41.3,28.0,0.0,3,1994.0,1.0,1.0,0,8,3,0,1,0,0,373,22,4871
116,9,61000.0,5.08,0.0,0.0,,,5.0,0.0,12653,48.9,14.0,0.0,3,2004.0,4.0,1.0,0,2,0,0,2,0,0,616,3,4823
117,4,120000.0,15.23,0.0,1.0,,,11.0,0.0,25822,71.1,27.0,0.0,1,1996.0,1.0,1.0,0,4,3,4,1,0,0,571,42,2248
118,2,100000.0,9.13,0.0,0.0,43.0,87.0,10.0,1.0,9331,79.1,24.0,0.0,2,1995.0,5.0,1.0,0,4,2,0,2,0,0,205,48,4639
119,0,55200.0,16.76,0.0,1.0,38.0,,26.0,0.0,26676,33.1,53.0,0.0,1,1970.0,10.0,1.0,0,4,2,0,1,0,0,119,37,4639
120,3,112800.0,14.35,0.0,1.0,,,17.0,0.0,38121,59.6,35.0,0.0,2,1987.0,8.0,1.0,0,4,4,0,1,0,0,107,33,345
121,10,145000.0,5.74,0.0,3.0,,,6.0,0.0,28648,61.0,26.0,0.0,3,1985.0,8.0,1.0,0,4,2,0,1,0,0,37,6,1695
122,10,75000.0,13.15,0.0,0.0,,,13.0,0.0,13901,29.8,33.0,0.0,3,1988.0,1.0,1.0,0,4,1,0,1,0,0,559,42,7716
123,6,75000.0,19.09,0.0,1.0,78.0,,12.0,0.0,16865,70.0,32.0,0.0,3,1996.0,12.0,1.0,0,4,4,4,2,0,0,12,19,2865
124,5,65000.0,20.62,0.0,3.0,,93.0,11.0,1.0,14658,68.2,27.0,0.0,1,2001.0,10.0,1.0,0,4,1,4,1,0,0,581,42,7121
125,3,50000.0,13.73,0.0,0.0,,,5.0,0.0,20791,94.5,10.0,0.0,2,2001.0,3.0,1.0,0,2,4,4,0,0,0,442,14,1080
126,10,85000.0,17.92,0.0,0.0,28.0,,4.0,0.0,28824,39.2,7.0,0.0,1,1997.0,8.0,1.0,0,12,2,4,0,0,0,44,30,5672
127,10,137481.0,4.81,1.0,0.0,16.0,,5.0,0.0,20042,50.9,34.0,0.0,2,1985.0,6.0,1.0,0,4,3,4,0,0,0,550,42,4048
128,4,47000.0,13.53,0.0,0.0,,,7.0,0.0,7686,78.4,10.0,0.0,1,2005.0,1.0,1.0,0,2,0,4,0,0,0,680,4,6708
129,5,58344.0,6.38,0.0,1.0,56.0,,6.0,0.0,11927,75.5,19.0,0.0,2,1999.0,9.0,1.0,0,4,3,4,0,0,0,489,16,5318
130,1,32400.0,21.22,0.0,1.0,,,8.0,0.0,14667,69.2,15.0,0.0,1,2001.0,2.0,1.0,0,0,4,4,0,0,0,413,23,4639
131,1,122000.0,7.55,0.0,5.0,,,8.0,0.0,62681,25.9,25.0,0.0,3,1999.0,3.0,1.0,0,2,1,0,0,0,0,436,14,2040
132,1,65000.0,3.01,0.0,1.0,,,5.0,0.0,6526,94.6,8.0,0.0,1,2007.0,7.0,1.0,1,5,0,0,1,0,0,442,14,2550
133,5,82000.0,21.73,1.0,6.0,6.0,,15.0,0.0,111611,17.4,24.0,0.0,3,1991.0,7.0,1.0,0,4,3,0,0,0,0,349,34,5019
134,10,52000.0,16.57,0.0,1.0,37.0,,7.0,0.0,5437,22.4,41.0,0.0,1,1995.0,5.0,1.0,0,4,3,4,1,0,0,323,17,7389
135,5,180000.0,21.17,0.0,0.0,,,16.0,0.0,12318,78.0,61.0,0.0,2,2000.0,8.0,1.0,0,4,0,4,2,0,0,675,4,5076
136,10,55000.0,15.75,0.0,0.0,,,8.0,0.0,10572,53.9,18.0,0.0,1,1994.0,9.0,1.0,0,18,4,4,1,0,0,76,33,7108
137,3,78402.0,10.24,1.0,0.0,5.0,,3.0,0.0,1094,31.3,16.0,0.0,1,1998.0,5.0,1.0,0,4,4,4,0,0,0,635,4,1415
138,10,65496.0,13.81,0.0,1.0,26.0,,11.0,0.0,5205,13.4,39.0,0.0,1,1986.0,9.0,1.0,0,18,2,4,0,0,0,566,42,7643
139,7,200000.0,3.74,0.0,1.0,,,10.0,0.0,12147,67.5,18.0,0.0,1,1990.0,9.0,1.0,0,4,0,0,1,0,0,653,4,2659
140,4,30000.0,20.28,0.0,0.0,,,13.0,0.0,6024,45.3,24.0,0.0,3,1999.0,8.0,1.0,0,2,3,0,0,0,0,441,14,6893
141,2,114000.0,15.02,0.0,2.0,,101.0,12.0,1.0,18071,65.5,24.0,0.0,1,1984.0,8.0,1.0,0,4,1,0,0,0,0,551,42,5626
142,4,37560.0,26.84,0.0,0.0,,,4.0,0.0,17596,96.2,8.0,0.0,2,2000.0,8.0,1.0,0,4,1,3,0,0,0,510,18,6320
143,8,75000.0,6.22,0.0,2.0,,,11.0,0.0,72,0.6,12.0,0.0,2,2005.0,4.0,1.0,0,12,0,4,2,0,0,507,18,4506
144,1,61000.0,23.08,0.0,5.0,,,7.0,0.0,9433,76.3,13.0,0.0,1,2001.0,5.0,1.0,0,2,3,4,0,0,0,248,10,223
145,1,100000.0,13.31,0.0,1.0,,,16.0,0.0,13931,75.8,24.0,0.0,3,1995.0,1.0,1.0,1,21,3,0,1,0,0,641,4,4639
146,1,28000.0,1.76,0.0,1.0,,,6.0,0.0,1292,4.3,8.0,0.0,2,2002.0,8.0,1.0,0,12,3,4,0,0,0,140,37,4902
147,10,130000.0,19.62,0.0,0.0,,,9.0,0.0,61165,91.3,28.0,0.0,3,1985.0,9.0,1.0,0,2,4,3,1,0,0,674,4,5987
148,1,37500.0,6.62,0.0,1.0,,,4.0,0.0,7187,92.1,21.0,0.0,2,2002.0,2.0,1.0,0,8,2,0,0,0,0,233,27,559
149,10,45000.0,14.11,1.0,3.0,17.0,,7.0,0.0,3641,79.2,19.0,0.0,3,2002.0,4.0,1.0,1,18,4,4,2,0,0,655,4,7387
150,7,52800.0,24.94,0.0,1.0,,,8.0,0.0,10290,85.0,12.0,0.0,3,2000.0,12.0,1.0,1,2,0,4,2,0,0,216,48,215
151,10,39168.0,24.85,0.0,1.0,36.0,77.0,13.0,1.0,6347,81.6,30.0,0.0,1,1997.0,3.0,1.0,1,4,1,0,0,0,0,674,4,5948
152,5,58000.0,20.32,0.0,0.0,,,12.0,0.0,6790,52.6,29.0,0.0,3,2000.0,6.0,1.0,0,4,3,4,2,0,0,571,42,736
153,10,88812.93,18.56,0.0,2.0,,,8.0,0.0,33844,85.9,27.0,0.0,2,1994.0,11.0,1.0,0,2,4,0,1,0,0,140,37,85
154,10,42000.0,21.17,0.0,2.0,,,25.0,0.0,9669,16.6,37.0,0.0,1,1984.0,11.0,1.0,0,18,4,4,0,0,0,542,42,5208
155,2,43000.0,23.44,0.0,2.0,,,9.0,0.0,5049,48.5,12.0,0.0,3,1997.0,1.0,1.0,0,18,3,0,1,0,0,561,42,5637
156,8,115000.0,7.78,0.0,2.0,44.0,,7.0,0.0,12340,71.3,46.0,0.0,2,1997.0,8.0,1.0,0,4,3,0,0,0,0,19,38,4738
157,10,93000.0,10.89,0.0,0.0,,,13.0,0.0,60376,47.9,27.0,0.0,3,1983.0,11.0,1.0,0,8,4,0,0,0,0,373,22,7827
158,1,10000.0,19.68,0.0,0.0,,,3.0,0.0,603,6.2,4.0,0.0,3,2005.0,11.0,1.0,0,6,1,4,0,0,0,442,14,104
159,7,350000.0,11.38,0.0,7.0,,,13.0,0.0,1207359,56.0,33.0,0.0,2,1986.0,10.0,1.0,0,21,4,3,0,0,0,14,19,69
160,2,51996.0,23.96,0.0,3.0,,,8.0,0.0,8437,63.0,14.0,0.0,3,2004.0,7.0,1.0,0,4,0,0,2,0,0,666,4,7370
161,10,140000.0,3.05,0.0,0.0,28.0,,21.0,0.0,16621,20.6,50.0,0.0,1,1970.0,2.0,1.0,0,2,1,0,2,0,0,646,4,5252
162,3,61200.0,11.02,0.0,0.0,,,12.0,0.0,6577,51.0,20.0,0.0,3,1999.0,12.0,1.0,0,4,4,4,0,0,0,75,33,552
163,4,40000.0,11.19,0.0,2.0,,,6.0,0.0,17554,57.0,8.0,0.0,1,1998.0,11.0,1.0,0,4,0,4,2,0,0,76,33,6798
